지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2017-12-30,1,20150976,신과함께-죄와 벌,동일,2017-12-20,"7,556,661,043",54.5%,"3,142,279,373 (71.2%)","59,782,326,232","908,290","375,535 (70.5%)","7,515,538","1,666","8,257"
0105000,전체,2017-12-30,2,20170590,1987,동일,2017-12-27,"4,075,364,307",29.4%,"1,515,216,477 (59.2%)","10,568,920,737","487,098","180,536 (58.9%)","1,382,031","1,079","5,122"
0105000,전체,2017-12-30,3,20170402,강철비,동일,2017-12-14,"820,374,754",5.9%,"240,718,764 (41.5%)","31,001,852,666","99,934","29,289 (41.5%)","3,893,447",569,"1,446"
0105000,전체,2017-12-30,4,20179462,위대한 쇼맨,동일,2017-12-20,"423,910,789",3.1%,"91,958,009 (27.7%)","6,172,427,600","50,258","10,775 (27.3%)","756,917",407,756
0105000,전체,2017-12-30,5,20174965,극장판 포켓몬스터 너로 정했다!,동일,2017-12-21,"267,578,600",1.9%,"138,384,200 (107.1%)","2,847,267,800","35,443","18,573 (110.1%)","380,115",434,633
0105000,전체,2017-12-30,6,20176082,몬스터 패밀리,1 상승,2017-12-21,"191,602,300",1.4%,"90,477,500 (89.5%)","2,329,978,300","25,664","12,035 (88.3%)","315,221",355,486
0105000,전체,2017-12-30,7,20176947,원더,1 하락,2017-12-27,"147,343,600",1.1%,"24,209,800 (19.7%)","461,328,400","18,056","3,174 (21.3%)","60,746",178,433
0105000,전체,2017-12-30,8,20174846,뽀로로 극장판 공룡섬 대모험,동일,2017-12-07,"102,277,200",0.7%,"25,730,300 (33.6%)","5,739,741,400","13,089","3,198 (32.3%)","759,990",197,273
0105000,전체,2017-12-30,9,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,1 상승,2017-12-28,"65,238,500",0.5%,"15,173,000 (30.3%)","226,997,800","8,359","2,063 (32.8%)","29,817",191,308
0105000,전체,2017-12-30,10,20170443,스타워즈: 라스트 제다이,1 상승,2017-12-14,"40,081,100",0.3%,"-17,308,700 (-30.2%)","8,496,630,761","3,472",-934 (-21.2%),"942,892",31,40
0105000,전체,2017-12-30,11,20176049,패터슨,3 상승,2017-12-21,"23,525,000",0.2%,"8,855,500 (60.4%)","213,522,900","2,714",970 (55.6%),"26,460",40,79
0105000,전체,2017-12-30,12,20179942,러빙 빈센트,3 상승,2017-11-09,"20,897,100",0.2%,"8,119,300 (63.5%)","3,039,273,461","2,390",912 (61.7%),"381,971",40,58
