지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2019-03-02,1,20196601,항거:유관순 이야기,동일,2019-02-27,"1,601,775,890",25.1%,"-593,320,781 (-27.0%)","5,024,488,591","189,038","-73,453 (-28.0%)","636,505","1,094","4,364"
0105000,전체,2019-03-02,2,20177539,사바하,동일,2019-02-20,"1,448,025,360",22.7%,"-206,681,471 (-12.5%)","16,762,293,684","162,038","-24,713 (-13.2%)","2,026,172",955,"3,780"
0105000,전체,2019-03-02,3,20185881,증인,동일,2019-02-13,"1,108,468,290",17.4%,"-163,631,310 (-12.9%)","17,595,562,751","127,417","-20,769 (-14.0%)","2,191,348",974,"3,449"
0105000,전체,2019-03-02,4,20182530,극한직업,동일,2019-01-23,"1,005,346,390",15.7%,"-184,987,580 (-15.5%)","136,956,774,536","112,618","-22,261 (-16.5%)","15,946,980",728,"2,580"
0105000,전체,2019-03-02,5,20176442,자전차왕 엄복동,동일,2019-02-27,"209,961,430",3.3%,"-86,025,680 (-29.1%)","994,751,490","24,981","-10,370 (-29.3%)","133,582",566,"1,365"
0105000,전체,2019-03-02,6,20195743,신데렐라:마법 반지의 비밀,동일,2019-02-20,"146,316,990",2.3%,"-62,679,820 (-30.0%)","1,860,641,310","18,739","-8,095 (-30.2%)","252,254",443,726
0105000,전체,2019-03-02,7,20180937,더 페이버릿: 여왕의 여자,2 상승,2019-02-21,"105,428,220",1.7%,"-10,798,730 (-9.3%)","802,892,290","11,912","-1,199 (-9.1%)","96,005",128,262
0105000,전체,2019-03-02,8,20195791,"어쩌다, 결혼",1 하락,2019-02-27,"102,411,560",1.6%,"-27,118,859 (-20.9%)","478,745,409","11,680","-3,284 (-21.9%)","63,485",463,836
0105000,전체,2019-03-02,9,20184574,그린 북,2 상승,2019-01-09,"93,878,724",1.5%,"2,995,611 (3.3%)","2,919,846,261","10,469",167 (1.6%),"335,490",147,204
0105000,전체,2019-03-02,10,20186261,드래곤 길들이기 3,2 하락,2019-01-30,"83,038,700",1.3%,"-30,165,250 (-26.6%)","12,204,008,006","10,445","-4,029 (-27.8%)","1,489,660",206,281
0105000,전체,2019-03-02,11,20188282,알리타: 배틀 엔젤,2 상승,2019-02-05,"78,137,330",1.2%,"-5,175,790 (-6.2%)","18,466,773,877","8,847",-748 (-7.8%),"1,940,099",153,238
0105000,전체,2019-03-02,12,20020222,해리포터와 비밀의 방,동일,2002-12-13,"75,782,000",1.2%,"-20,319,000 (-21.1%)","1,096,835,500","7,953","-2,272 (-22.2%)","126,758",33,199
