지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2020-05-07,1,20207341,레이니 데이 인 뉴욕,동일,2020-05-06,"43,861,820",18.6%,"-8,457,240 (-16.2%)","101,851,080","5,342",-979 (-15.5%),"12,304",473,"1,073"
0105000,전체,2020-05-07,2,20207722,저 산 너머,1 상승,2020-04-30,"21,799,260",9.3%,"-720,280 (-3.2%)","439,676,160","3,198",-35 (-1.1%),"60,100",319,495
0105000,전체,2020-05-07,3,20205402,트롤: 월드 투어,1 하락,2020-04-29,"21,113,780",9.0%,"-2,900,360 (-12.1%)","760,643,640","2,869",-388 (-11.9%),"99,410",217,537
0105000,전체,2020-05-07,4,20173226,패왕별희 디 오리지널,동일,2017-03-30,"23,656,280",10.1%,"-2,399,360 (-9.2%)","387,922,060","2,794",-302 (-9.8%),"43,728",323,407
0105000,전체,2020-05-07,5,20197397,나의 청춘은 너의 것,동일,2020-04-29,"19,680,580",8.4%,"-1,891,960 (-8.8%)","513,015,640","2,322",-307 (-11.7%),"61,147",312,505
0105000,전체,2020-05-07,6,20207893,프리즌 이스케이프,1 상승,2020-05-06,"16,852,980",7.2%,"474,040 (2.9%)","33,231,920","2,125",80 (3.9%),"4,170",244,379
0105000,전체,2020-05-07,7,20181685,호텔 레이크,1 하락,2020-04-29,"13,197,800",5.6%,"-3,913,800 (-22.9%)","440,156,680","1,612",-457 (-22.1%),"52,413",230,346
0105000,전체,2020-05-07,8,20206441,마이 스파이,동일,2020-04-29,"9,626,600",4.1%,"-1,158,300 (-10.7%)","370,606,200","1,170",-153 (-11.6%),"43,912",162,339
0105000,전체,2020-05-07,9,20192399,1917,동일,2020-02-19,"7,855,260",3.3%,"-1,338,080 (-14.6%)","7,692,935,100",979,-118 (-10.8%),"850,667",183,233
0105000,전체,2020-05-07,10,20167904,라라랜드,동일,2016-12-07,"4,222,800",1.8%,"-1,322,480 (-23.8%)","30,754,825,688",810,-283 (-25.9%),"3,722,260",152,190
0105000,전체,2020-05-07,11,20188282,알리타: 배틀 엔젤,New,2019-02-05,"4,758,320",2.0%,"4,758,320 (100.0%)","18,576,213,987",796,796 (100.0%),"1,952,859",200,255
0105000,전체,2020-05-07,12,20204501,레미제라블: 뮤지컬 콘서트,New,2020-05-13,"6,112,000",2.6%,"6,112,000 (100.0%)","6,112,000",764,764 (100.0%),764,2,2
0105000,전체,2020-05-07,13,20151383,마션,New,2015-10-08,"3,725,000",1.6%,"3,725,000 (100.0%)","39,675,865,595",683,683 (100.0%),"4,882,548",221,283
0105000,전체,2020-05-07,14,20156923,슈팅걸스,3 하락,2020-05-06,"4,628,480",2.0%,"-1,930,460 (-29.4%)","49,758,420",628,-224 (-26.3%),"7,071",158,208
0105000,전체,2020-05-07,15,20180377,리벤지,3 하락,2020-05-06,"3,881,060",1.6%,"-1,518,680 (-28.1%)","9,280,800",509,-165 (-24.5%),"1,183",123,158
0105000,전체,2020-05-07,16,20207281,헌티드 파크,3 하락,2020-05-06,"3,844,320",1.6%,"-1,040,720 (-21.3%)","9,647,360",477,-124 (-20.6%),"1,180",131,159
0105000,전체,2020-05-07,17,20183782,기생충,3 하락,2019-05-30,"2,709,740",1.2%,"-885,820 (-24.6%)","87,439,468,195",334,-112 (-25.1%),"10,310,588",114,141
0105000,전체,2020-05-07,18,20110026,로마의 휴일,2 하락,2025-08-20,"2,054,000",0.9%,"-508,500 (-19.8%)","83,784,500",292,-53 (-15.4%),"21,108",62,63
0105000,전체,2020-05-07,19,20206982,킹덤,4 하락,2020-04-29,"1,699,500",0.7%,"-1,319,000 (-43.7%)","128,928,000",224,-153 (-40.6%),"16,270",63,75
0105000,전체,2020-05-07,20,20205321,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,27 상승,2020-04-02,"1,724,840",0.7%,"1,556,520 (924.7%)","41,817,260",211,190 (904.8%),"4,797",17,20
0105000,전체,2020-05-07,21,20204342,캣츠토피아,2 하락,2020-04-30,"1,448,520",0.6%,"-644,820 (-30.8%)","156,567,720",197,-57 (-22.4%),"18,668",44,46
0105000,전체,2020-05-07,22,20173945,인비저블 게스트,1 하락,2017-09-21,"945,000",0.4%,"65,000 (7.4%)","766,454,800",189,13 (7.4%),"95,755",40,50
0105000,전체,2020-05-07,23,20206865,애프터 웨딩 인 뉴욕,6 하락,2020-04-23,"1,467,860",0.6%,"-919,340 (-38.5%)","139,880,160",181,-116 (-39.1%),"17,170",50,66
0105000,전체,2020-05-07,24,19618009,티파니에서 아침을,6 하락,,"1,238,000",0.5%,"-583,500 (-32.0%)","108,258,200",173,-85 (-32.9%),"25,052",47,48
0105000,전체,2020-05-07,25,20207730,주인집 딸,New,2020-05-07,"942,000",0.4%,"942,000 (100.0%)","942,000",170,170 (100.0%),170,21,21
0105000,전체,2020-05-07,26,20190280,날씨의 아이,6 하락,2019-10-30,"633,900",0.3%,"-408,000 (-39.2%)","5,679,462,950",115,-88 (-43.3%),"690,535",19,23
0105000,전체,2020-05-07,27,19888010,시네마 천국,3 하락,1990-07-07,"532,000",0.2%,"-113,000 (-17.5%)","294,910,200",106,-23 (-17.8%),"47,691",15,18
0105000,전체,2020-05-07,28,20207723,보이콰이어,6 하락,2020-05-14,"1,236,000",0.5%,"-42,000 (-3.3%)","3,228,000",103,-39 (-27.5%),347,1,1
0105000,전체,2020-05-07,29,20090528,페임,New,2009-09-24,"700,000",0.3%,"700,000 (100.0%)","4,716,590,180",100,100 (100.0%),"643,041",1,1
0105000,전체,2020-05-07,30,20199532,고양이 집사,New,2020-05-14,"784,000",0.3%,"784,000 (100.0%)","3,646,000",98,98 (100.0%),449,1,1
0105000,전체,2020-05-07,31,20163122,알래스카의 혼,New,,"186,000",0.1%,"186,000 (100.0%)","7,253,000",93,93 (100.0%),"3,182",1,3
0105000,전체,2020-05-07,32,20208282,더 플랫폼,New,2020-05-13,"885,000",0.4%,"885,000 (100.0%)","1,785,000",92,92 (100.0%),192,1,1
0105000,전체,2020-05-07,33,20207323,썸원 썸웨어,2 하락,2020-04-29,"630,480",0.3%,"154,880 (32.6%)","21,758,900",85,21 (32.8%),"2,538",21,24
0105000,전체,2020-05-07,34,20186282,이별의 아침에 약속의 꽃을 장식하자,8 하락,2018-07-19,"419,040",0.2%,"-140,440 (-25.1%)","322,902,020",83,-22 (-21.0%),"37,959",12,18
0105000,전체,2020-05-07,35,20196716,유령선,6 하락,2020-04-15,"493,340",0.2%,"-102,080 (-17.1%)","177,850,860",63,-7 (-10.0%),"20,291",24,25
0105000,전체,2020-05-07,36,20192240,작은 아씨들,4 상승,2020-02-12,"404,820",0.2%,"135,780 (50.5%)","7,261,234,490",55,24 (77.4%),"861,511",5,6
0105000,전체,2020-05-07,37,20197444,더 워닝,2 하락,2020-05-06,"250,000",0.1%,"-40,000 (-13.8%)","739,000",50,-8 (-13.8%),137,27,29
0105000,전체,2020-05-07,38,20198183,뽀로로 극장판 보물섬 대모험,35 상승,2019-04-25,"230,000",0.1%,"200,000 (666.7%)","5,890,431,900",46,40 (666.7%),"767,667",2,2
0105000,전체,2020-05-07,39,20101412,마이 페어 레이디,11 하락,,"286,000",0.1%,"-234,000 (-45.0%)","8,335,000",43,-28 (-39.4%),"1,205",10,10
0105000,전체,2020-05-07,40,20161872,너의 이름은.,1 상승,2017-01-04,"200,480",0.1%,"59,480 (42.2%)","30,031,469,736",41,12 (41.4%),"3,731,974",6,6
0105000,전체,2020-05-07,41,19638007,샤레이드,18 상승,,"245,000",0.1%,"151,000 (160.6%)","13,641,000",36,23 (176.9%),"4,814",6,6
0105000,전체,2020-05-07,42,20180523,스타 이즈 본,10 상승,2018-10-09,"182,500",0.1%,"88,500 (94.1%)","4,443,367,000",35,17 (94.4%),"527,152",4,4
0105000,전체,2020-05-07,43,19688103,얼굴들,New,,"238,000",0.1%,"238,000 (100.0%)","1,160,000",34,34 (100.0%),164,1,1
