지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2022-11-18,1,20226254,블랙 팬서: 와칸다 포에버,동일,2022-11-09,"889,700,800",37.9%,"196,432,246 (28.3%)","15,301,123,523","83,617","14,088 (20.3%)","1,440,032","1,456","4,908"
0105000,전체,2022-11-18,2,20217905,데시벨,동일,2022-11-16,"701,725,091",29.9%,"58,848,756 (9.2%)","2,110,749,038","70,466","2,028 (3.0%)","219,056","1,079","4,043"
0105000,전체,2022-11-18,3,20224598,동감,동일,2022-11-16,"425,794,972",18.1%,"-83,966,833 (-16.5%)","1,589,052,195","43,319","-11,510 (-21.0%)","167,460",961,"3,640"
0105000,전체,2022-11-18,4,20227514,폴: 600미터,동일,2022-11-16,"93,992,755",4.0%,"10,887,459 (13.1%)","279,787,767","9,043",494 (5.8%),"27,855",460,947
0105000,전체,2022-11-18,5,20226798,에브리씽 에브리웨어 올 앳 원스,1 상승,2022-10-12,"51,163,075",2.2%,"18,218,790 (55.3%)","3,316,863,604","4,672","1,404 (43.0%)","310,253",203,312
0105000,전체,2022-11-18,6,20198429,자백,1 하락,2022-10-26,"44,491,214",1.9%,"11,147,120 (33.4%)","7,130,480,452","4,357",879 (25.3%),"715,300",419,696
0105000,전체,2022-11-18,7,20226777,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,4 상승,2022-09-28,"16,596,893",0.7%,"2,937,299 (21.5%)","8,000,127,898","1,740",277 (18.9%),"797,944",177,197
0105000,전체,2022-11-18,8,20228532,한산 리덕스,1 상승,2022-11-16,"16,718,596",0.7%,"1,767,241 (11.8%)","53,603,748","1,736",42 (2.5%),"5,641",187,336
0105000,전체,2022-11-18,9,20198317,인생은 아름다워,2 하락,2022-09-28,"14,162,099",0.6%,"-1,567,501 (-10.0%)","10,771,646,607","1,616",-428 (-20.9%),"1,156,474",97,110
0105000,전체,2022-11-18,10,20212665,심야카페: 미씽 허니,2 하락,2022-11-17,"7,619,600",0.3%,"-9,820,099 (-56.3%)","34,944,299",873,"-1,140 (-56.6%)","3,898",157,193
0105000,전체,2022-11-18,11,20227637,걸리버 리턴즈,27 상승,2022-11-03,"5,064,000",0.2%,"4,584,000 (955.0%)","75,980,887",807,712 (749.5%),"9,248",14,14
0105000,전체,2022-11-18,12,20226558,아인보: 아마존의 전설,2 하락,2022-10-26,"4,958,000",0.2%,"-5,185,000 (-51.1%)","356,484,079",791,-705 (-47.1%),"45,915",23,24
0105000,전체,2022-11-18,13,20227784,내 친한 친구의 아침식사,16 상승,2022-11-10,"4,062,000",0.2%,"2,490,200 (158.4%)","51,781,900",649,478 (279.5%),"5,705",51,60
0105000,전체,2022-11-18,14,20228469,제18회 프라이드스크린 폐막,New,,"4,512,000",0.2%,"4,512,000 (100.0%)","4,512,000",564,564 (100.0%),564,1,4
0105000,전체,2022-11-18,15,20227756,킹덤2: 아득한 대지로,2 상승,2022-11-16,"4,290,800",0.2%,"-26,600 (-0.6%)","18,019,900",446,-17 (-3.7%),"1,880",106,156
0105000,전체,2022-11-18,16,20228357,극장판 소드 아트 온라인 -프로그레시브- 짙은 어둠의 스케르초,3 하락,2022-11-10,"4,621,400",0.2%,"-5,428,600 (-54.0%)","143,342,200",400,-580 (-59.2%),"12,756",38,38
0105000,전체,2022-11-18,17,20226690,블로우백,3 하락,2022-11-17,"2,762,800",0.1%,"-3,198,700 (-53.7%)","8,724,300",396,-400 (-50.3%),"1,192",22,22
0105000,전체,2022-11-18,18,20209205,프로메어,4 상승,2022-10-20,"3,556,598",0.2%,"553,105 (18.4%)","116,194,843",310,19 (6.5%),"10,536",12,16
0105000,전체,2022-11-18,19,20216056,창밖은 겨울,7 하락,2022-11-24,"2,051,000",0.1%,"-4,369,000 (-68.1%)","9,084,000",293,-415 (-58.6%),"1,071",1,1
0105000,전체,2022-11-18,20,20211242,고속도로 가족,13 상승,2022-11-02,"2,013,700",0.1%,"981,700 (95.1%)","187,601,800",274,145 (112.4%),"23,565",13,13
0105000,전체,2022-11-18,21,20211031,파이어버드,1 하락,2022-11-17,"2,594,200",0.1%,"-539,998 (-17.2%)","7,534,898",254,-71 (-21.8%),762,32,37
0105000,전체,2022-11-18,22,20198461,리멤버,6 하락,2022-10-26,"1,661,400",0.1%,"-1,502,000 (-47.5%)","3,928,633,019",247,-223 (-47.4%),"407,095",26,26
0105000,전체,2022-11-18,23,20211546,같은 속옷을 입는 두 여자,4 상승,2022-11-10,"2,448,000",0.1%,"284,000 (13.1%)","49,583,298",243,37 (18.0%),"5,527",29,38
0105000,전체,2022-11-18,24,20217126,첫번째 아이,7 상승,2022-11-10,"2,284,500",0.1%,"745,500 (48.4%)","30,311,400",242,75 (44.9%),"3,311",22,22
0105000,전체,2022-11-18,25,20205362,미니언즈2,New,2022-07-20,"1,283,000",0.1%,"1,283,000 (100.0%)","21,997,251,172",215,215 (100.0%),"2,268,650",2,2
0105000,전체,2022-11-18,26,20228631,양자경의 더 모든 날 모든 순간,New,2022-11-23,"2,943,000",0.1%,"2,943,000 (100.0%)","2,943,000",213,213 (100.0%),213,1,1
0105000,전체,2022-11-18,27,20226564,EBS친구들 씽씽 댄스파티,24 상승,2022-09-20,"1,254,000",0.1%,"948,000 (309.8%)","5,608,000",209,158 (309.8%),922,4,4
0105000,전체,2022-11-18,28,20219309,트랜스,5 하락,2022-11-17,"1,153,700",0.0%,"-313,899 (-21.4%)","3,809,299",194,-92 (-32.2%),612,25,27
0105000,전체,2022-11-18,29,20226886,블랙 아담,10 하락,2022-10-19,"2,001,200",0.1%,"-952,700 (-32.3%)","8,032,636,808",176,-182 (-50.8%),"778,637",22,28
0105000,전체,2022-11-18,30,19738061,엑소시스트: 디렉터스 컷,4 하락,,"1,732,898",0.1%,"-232,698 (-11.8%)","19,470,884",175,-41 (-19.0%),"2,235",17,29
0105000,전체,2022-11-18,31,20184896,가버나움,New,2019-01-24,"1,392,000",0.1%,"1,392,000 (100.0%)","1,218,549,519",174,174 (100.0%),"147,759",1,1
0105000,전체,2022-11-18,32,20129040,분노의 강,New,,"326,000",0.0%,"326,000 (100.0%)","6,398,000",163,163 (100.0%),"2,704",1,5
0105000,전체,2022-11-18,33,20227924,"바르도, 약간의 진실을 섞은 거짓된 연대기",9 하락,2022-11-16,"1,592,100",0.1%,"-528,400 (-24.9%)","4,436,600",158,-66 (-29.5%),466,20,32
0105000,전체,2022-11-18,34,20228203,픽션들,New,2022-11-24,"1,661,000",0.1%,"1,661,000 (100.0%)","1,661,000",151,151 (100.0%),151,1,1
0105000,전체,2022-11-18,35,20227111,바커스: 고양이를 조심해!,1 하락,2022-10-27,"1,029,000",0.0%,"-107,000 (-9.4%)","60,195,152",147,20 (15.7%),"7,312",1,1
0105000,전체,2022-11-18,36,20227754,피가로~피가로~피가로,9 상승,2022-11-10,"1,348,500",0.1%,"745,600 (123.7%)","13,188,400",143,71 (98.6%),"1,469",19,21
0105000,전체,2022-11-18,37,20227728,극장판 유루캠△,9 하락,2022-10-27,"1,347,798",0.1%,"-525,389 (-28.0%)","113,238,382",132,-60 (-31.3%),"10,919",16,16
0105000,전체,2022-11-18,38,20183772,태일이,5 상승,2021-12-01,"1,200,000",0.1%,"480,000 (66.7%)","989,451,590",120,40 (50.0%),"119,382",1,1
