지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2011-03-21,1,20119707,월드 인베이젼,동일,2011-03-10,"162,918,500",16.9%,"-701,836,000 (-81.2%)","7,122,101,000","22,130","-92,527 (-80.7%)","944,522",293,"1,525"
0105000,전체,2011-03-21,2,20119637,킹스 스피치,동일,2011-03-17,"138,807,500",14.4%,"-470,225,500 (-77.2%)","2,094,987,500","19,596","-61,443 (-75.8%)","279,053",287,"1,420"
0105000,전체,2011-03-21,3,20119337,그대를 사랑합니다,1 상승,2011-02-17,"121,386,000",12.6%,"-275,131,000 (-69.4%)","7,765,616,500","17,147","-34,724 (-66.9%)","1,052,428",234,866
0105000,전체,2011-03-21,4,20119768,레드 라이딩 후드,1 하락,2011-03-17,"111,638,000",11.6%,"-364,873,500 (-76.6%)","1,558,839,500","15,245","-46,867 (-75.5%)","205,100",237,"1,450"
0105000,전체,2011-03-21,5,20119577,블랙 스완,동일,2011-02-24,"96,649,000",10.0%,"-225,905,500 (-70.0%)","11,277,222,000","13,310","-27,005 (-67.0%)","1,464,131",235,"1,018"
0105000,전체,2011-03-21,6,20119667,굿모닝 에브리원,1 상승,2011-03-17,"74,116,500",7.7%,"-153,549,500 (-67.4%)","746,244,000","10,082","-18,276 (-64.4%)","97,022",142,732
0105000,전체,2011-03-21,7,20119511,사랑이 무서워,1 하락,2011-03-10,"72,358,500",7.5%,"-194,766,500 (-72.9%)","2,508,408,000","9,883","-24,613 (-71.4%)","333,038",258,815
0105000,전체,2011-03-21,8,20119802,비스틀리,1 상승,2011-03-17,"52,630,000",5.5%,"-140,599,000 (-72.8%)","680,136,500","7,178","-17,808 (-71.3%)","89,905",206,"1,019"
0105000,전체,2011-03-21,9,20119419,웨이 백,1 상승,2011-03-17,"40,944,000",4.2%,"-131,337,000 (-76.2%)","494,133,000","5,798","-17,218 (-74.8%)","66,675",163,683
0105000,전체,2011-03-21,10,20116037,달빛 길어올리기,1 상승,2011-03-17,"19,431,000",2.0%,"-34,489,000 (-64.0%)","196,759,500","3,036","-4,652 (-60.5%)","30,943",115,435
0105000,전체,2011-03-21,11,20119618,위험한 상견례,5 상승,2011-03-31,"14,990,000",1.6%,"8,785,000 (141.6%)","47,899,000","2,998","1,757 (141.6%)","9,331",15,15
0105000,전체,2011-03-21,12,20119771,내 이름은 칸,14 상승,2011-03-24,"13,524,000",1.4%,"12,745,500 (1,637.2%)","18,051,000","2,907","2,734 (1,580.3%)","3,913",11,11
0105000,전체,2011-03-21,13,2009A362,파이터,1 하락,2011-03-10,"11,480,500",1.2%,"-32,065,500 (-73.6%)","971,034,500","1,568","-4,023 (-72.0%)","128,873",124,269
0105000,전체,2011-03-21,14,20119630,랭고,6 하락,2011-03-03,"6,047,500",0.6%,"-188,067,000 (-96.9%)","2,781,188,000",840,"-27,413 (-97.0%)","391,050",87,142
0105000,전체,2011-03-21,15,20119718,지구대표 롤링스타즈,10 상승,2011-03-24,"3,730,000",0.4%,"2,878,000 (337.8%)","10,996,000",584,442 (311.3%),"1,623",4,4
0105000,전체,2011-03-21,16,20102414,조선명탐정 : 각시투구꽃의 비밀,2 하락,2011-01-27,"3,993,000",0.4%,"-17,426,500 (-81.4%)","35,829,958,500",563,"-2,214 (-79.7%)","4,784,614",25,57
0105000,전체,2011-03-21,17,20119341,아이들...,2 하락,2011-02-17,"3,323,500",0.3%,"-14,747,500 (-81.6%)","13,558,123,000",466,"-2,045 (-81.4%)","1,864,267",49,101
0105000,전체,2011-03-21,18,19558011,에덴의 동쪽,New,1973-02-22,"830,000",0.1%,"830,000 (100.0%)","830,000",415,415 (100.0%),415,1,2
0105000,전체,2011-03-21,19,20101344,파수꾼,1 하락,2011-03-03,"2,204,500",0.2%,"-3,108,000 (-58.5%)","83,060,900",299,-344 (-53.5%),"10,876",21,39
0105000,전체,2011-03-21,20,2010A522,모정,동일,1972-12-09,"491,000",0.1%,"-95,000 (-16.2%)","3,133,000",243,-45 (-15.6%),"1,554",1,3
0105000,전체,2011-03-21,21,20119517,루르드,1 상승,2011-02-17,"1,288,500",0.1%,"-458,500 (-26.2%)","47,673,500",221,-33 (-13.0%),"7,284",15,18
0105000,전체,2011-03-21,22,20119430,컨트롤러,6 하락,2011-03-03,"1,633,000",0.2%,"-5,469,000 (-77.0%)","2,857,531,000",215,-672 (-75.8%),"372,726",21,48
0105000,전체,2011-03-21,23,20119507,"사랑한다, 사랑하지 않는다",4 하락,2011-03-03,"1,157,500",0.1%,"-1,317,500 (-53.2%)","502,887,500",166,-136 (-45.0%),"65,816",29,29
