지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2018-06-08,1,20179086,쥬라기 월드: 폴른 킹덤,동일,2018-06-06,"2,887,717,428",68.7%,"930,837,828 (47.6%)","15,168,820,028","312,523","80,699 (34.8%)","1,728,467","1,801","9,427"
0105000,전체,2018-06-08,2,20179383,독전,동일,2018-05-22,"755,841,622",18.0%,"201,251,522 (36.3%)","35,834,029,744","84,343","15,743 (22.9%)","4,188,080",753,"3,146"
0105000,전체,2018-06-08,3,20184801,유전,동일,2018-06-07,"180,627,963",4.3%,"33,132,163 (22.5%)","338,915,763","19,800","1,941 (10.9%)","38,845",414,"1,244"
0105000,전체,2018-06-08,4,20185081,아이 필 프리티,동일,2018-06-06,"128,561,000",3.1%,"36,926,400 (40.3%)","461,513,000","14,009","2,735 (24.3%)","52,573",182,762
0105000,전체,2018-06-08,5,20176848,데드풀 2,동일,2018-05-16,"95,329,559",2.3%,"24,699,159 (35.0%)","33,657,030,373","10,419","1,917 (22.5%)","3,725,145",366,756
0105000,전체,2018-06-08,6,20177478,어벤져스: 인피니티 워,1 상승,2018-04-25,"20,600,600",0.5%,"3,791,600 (22.6%)","99,494,065,469","2,241",186 (9.1%),"11,169,316",118,171
0105000,전체,2018-06-08,7,20135305,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,2 상승,2018-06-06,"12,795,700",0.3%,"116,800 (0.9%)","623,236,500","1,605",-191 (-10.6%),"82,831",294,345
0105000,전체,2018-06-08,8,20173202,버닝,2 상승,2018-05-17,"12,926,800",0.3%,"2,285,000 (21.5%)","4,622,188,798","1,411",122 (9.5%),"517,713",82,171
0105000,전체,2018-06-08,9,20184903,오션스8,3 하락,2018-06-13,"12,590,000",0.3%,"-11,260,000 (-47.2%)","42,272,000","1,259","-1,565 (-55.4%)","4,731",6,6
0105000,전체,2018-06-08,10,20184845,미드나잇 선,New,2018-06-21,"11,033,000",0.3%,"11,033,000 (100.0%)","11,993,000","1,003","1,003 (100.0%)","1,123",3,3
0105000,전체,2018-06-08,11,20184125,엔테베 작전,동일,2018-06-07,"7,217,400",0.2%,"-121,500 (-1.7%)","15,690,300",865,-101 (-10.5%),"1,957",99,184
0105000,전체,2018-06-08,12,20184261,벅스 프렌즈,2 상승,2018-06-06,"5,470,400",0.1%,"1,611,700 (41.8%)","130,099,800",768,189 (32.6%),"16,287",117,125
0105000,전체,2018-06-08,13,20183801,트루스 오어 데어,2 상승,2018-05-22,"6,087,200",0.1%,"2,114,900 (53.2%)","2,623,418,400",721,213 (41.9%),"308,066",54,80
0105000,전체,2018-06-08,14,20172469,허스토리,2 하락,2018-06-27,"3,511,500",0.1%,"-3,159,500 (-47.4%)","10,182,500",709,-50 (-6.6%),"1,468",4,4
0105000,전체,2018-06-08,15,20176053,"스탠바이, 웬디",2 하락,2018-05-30,"5,836,300",0.1%,"991,900 (20.5%)","324,292,180",703,66 (10.4%),"41,172",65,92
0105000,전체,2018-06-08,16,20182385,매직빈,New,2018-05-03,"5,040,000",0.1%,"5,040,000 (100.0%)","426,134,700",630,630 (100.0%),"55,723",3,3
0105000,전체,2018-06-08,17,20172767,거룩한 분노,New,2018-06-28,"5,730,000",0.1%,"5,730,000 (100.0%)","8,118,000",573,573 (100.0%),881,2,3
0105000,전체,2018-06-08,18,20184668,디트로이트,1 하락,2018-05-31,"4,485,000",0.1%,"852,000 (23.5%)","162,249,200",518,59 (12.9%),"19,014",52,74
0105000,전체,2018-06-08,19,20182121,밤쉘,1 하락,2018-06-07,"4,349,200",0.1%,"1,299,100 (42.6%)","12,648,300",466,72 (18.3%),"1,675",29,43
0105000,전체,2018-06-08,20,20182046,"안녕, 나의 소녀",10 상승,2018-05-16,"2,390,000",0.1%,"1,144,500 (91.9%)","854,321,454",359,175 (95.1%),"109,678",41,55
0105000,전체,2018-06-08,21,20183084,피터 래빗,10 상승,2018-05-16,"2,254,300",0.1%,"1,118,300 (98.4%)","2,905,937,300",350,174 (98.9%),"375,707",29,32
0105000,전체,2018-06-08,22,20184782,호비와 매직 아일랜드,6 상승,2018-06-06,"2,282,500",0.1%,"1,001,000 (78.1%)","36,217,500",343,140 (69.0%),"5,470",49,63
0105000,전체,2018-06-08,23,20184132,"세라비, 이것이 인생!",7 하락,2018-05-30,"2,861,200",0.1%,"-1,149,300 (-28.7%)","144,084,100",336,-143 (-29.9%),"18,180",21,30
0105000,전체,2018-06-08,24,20162869,택시운전사,동일,2017-08-02,"1,350,000",0.0%,0 (0.0%),"95,867,972,649",270,0 (0.0%),"12,189,025",2,2
0105000,전체,2018-06-08,25,20129641,세레나데,New,,"536,000",0.0%,"536,000 (100.0%)","536,000",268,268 (100.0%),268,1,4
0105000,전체,2018-06-08,26,20180789,한 솔로: 스타워즈 스토리,1 하락,2018-05-24,"2,387,300",0.1%,"222,900 (10.3%)","1,951,898,678",248,-11 (-4.2%),"212,563",16,22
0105000,전체,2018-06-08,27,20180943,꼬마영웅 바비,8 하락,2018-05-30,"1,234,000",0.0%,"-624,000 (-33.6%)","134,355,200",236,-133 (-36.0%),"17,748",8,8
0105000,전체,2018-06-08,28,19578009,파리의 연인,2 하락,,"399,000",0.0%,"-118,000 (-22.8%)","12,825,000",197,-59 (-23.0%),"6,344",1,5
0105000,전체,2018-06-08,29,20176067,"부르고뉴, 와인에서 찾은 인생",10 상승,2018-05-03,"1,720,800",0.0%,"838,800 (95.1%)","447,713,600",192,77 (67.0%),"51,486",8,12
0105000,전체,2018-06-08,30,20176170,미세스 하이드,31 상승,2018-05-31,"1,674,000",0.0%,"1,387,500 (484.3%)","18,338,600",165,125 (312.5%),"2,230",13,14
0105000,전체,2018-06-08,31,20136376,라이크 크레이지,2 하락,2018-05-30,"1,167,000",0.0%,"-322,000 (-21.6%)","76,091,480",155,-42 (-21.3%),"10,095",33,36
0105000,전체,2018-06-08,32,20183581,케이크메이커,9 상승,2018-05-24,"1,240,000",0.0%,"563,000 (83.2%)","83,864,700",141,43 (43.9%),"10,097",11,11
0105000,전체,2018-06-08,33,20186001,신은 죽지 않았다 3: 어둠 속의 빛,9 상승,2018-07-19,"1,113,500",0.0%,"306,000 (37.9%)","5,675,500",131,36 (37.9%),669,1,1
0105000,전체,2018-06-08,34,20175775,바라나시,9 상승,2018-05-24,"886,000",0.0%,"270,500 (43.9%)","23,515,500",127,37 (41.1%),"3,194",7,9
0105000,전체,2018-06-08,35,20183253,라 멜로디,New,2018-06-14,"1,260,000",0.0%,"1,260,000 (100.0%)","1,260,000",126,126 (100.0%),126,1,1
0105000,전체,2018-06-08,35,20184699,바르다가 사랑한 얼굴들,New,2018-06-14,"1,260,000",0.0%,"1,260,000 (100.0%)","1,260,000",126,126 (100.0%),126,1,1
0105000,전체,2018-06-08,37,20111539,차와 동정,3 하락,,"244,000",0.0%,"-56,000 (-18.7%)","6,947,000",122,-23 (-15.9%),"3,442",1,3
0105000,전체,2018-06-08,38,20128931,카이바 결사대,동일,,"234,000",0.0%,"-10,000 (-4.1%)","936,000",117,-5 (-4.1%),468,1,4
0105000,전체,2018-06-08,39,20183741,다이노 헌터: 티렉스VS파키리노 대격돌,26 상승,2018-05-17,"1,120,000",0.0%,"880,000 (366.7%)","169,369,400",112,82 (273.3%),"20,936",2,2
0105000,전체,2018-06-08,40,20181823,보리 vs 매켄로,51 상승,2018-05-10,"1,040,000",0.0%,"1,024,000 (6,400.0%)","78,194,433",104,"102 (5,100.0%)","9,139",2,2
0105000,전체,2018-06-08,41,20176983,킹 오브 프리즘 - 프라이드 더 히어로,16 상승,2017-06-10,"768,000",0.0%,"480,000 (166.7%)","1,029,005,500",101,56 (124.4%),"124,864",1,1
0105000,전체,2018-06-08,42,20183083,중2병이라도 사랑이 하고 싶어! 테이크 온 미,19 하락,2018-05-10,"894,500",0.0%,"-1,313,500 (-59.5%)","226,476,800",99,-172 (-63.5%),"25,927",11,11
0105000,전체,2018-06-08,43,20184723,미켈란젤로 : 사랑과 죽음,22 하락,2018-05-31,"803,000",0.0%,"-2,426,000 (-75.1%)","24,529,000",86,-217 (-71.6%),"2,411",9,10
0105000,전체,2018-06-08,44,20173865,데자뷰,2 상승,2018-05-30,"648,000",0.0%,"111,000 (20.7%)","358,014,100",82,4 (5.1%),"47,862",18,23
0105000,전체,2018-06-08,45,20172602,홈,9 하락,2018-05-30,"605,500",0.0%,"-266,000 (-30.5%)","50,908,100",81,-56 (-40.9%),"6,959",23,25
0105000,전체,2018-06-08,46,20174198,에델과 어니스트,10 상승,2018-05-10,"530,000",0.0%,"209,000 (65.1%)","76,643,200",73,25 (52.1%),"9,241",6,7
0105000,전체,2018-06-08,47,20136586,오직 사랑하는 이들만이 살아남는다,New,2014-01-09,"416,500",0.0%,"416,500 (100.0%)","266,243,843",66,66 (100.0%),"35,265",1,1
0105000,전체,2018-06-08,48,20170272,산상수훈,18 상승,2017-12-07,"689,000",0.0%,"419,000 (155.2%)","317,621,000",58,30 (107.1%),"44,058",1,1
0105000,전체,2018-06-08,49,20182561,당갈,1 상승,2018-04-25,"430,000",0.0%,"-17,000 (-3.8%)","890,492,500",55,-5 (-8.3%),"107,124",6,6
0105000,전체,2018-06-08,49,19558004,피크닉,New,,"110,000",0.0%,"110,000 (100.0%)","13,870,000",55,55 (100.0%),"6,900",1,3
0105000,전체,2018-06-08,51,20184513,위 베어 베어스: 베이비 베어스,4 하락,2018-05-24,"324,000",0.0%,"-119,000 (-26.9%)","125,571,200",54,-28 (-34.1%),"16,128",1,1
0105000,전체,2018-06-08,52,20181603,무문관,10 상승,2018-04-19,"355,500",0.0%,"57,000 (19.1%)","157,711,000",51,15 (41.7%),"20,462",6,7
0105000,전체,2018-06-08,52,20149796,"메밀꽃, 운수 좋은 날, 그리고 봄봄",New,2014-08-21,"102,000",0.0%,"102,000 (100.0%)","227,359,195",51,51 (100.0%),"35,567",1,1
0105000,전체,2018-06-08,52,20170003,소나기,New,2017-08-31,"102,000",0.0%,"102,000 (100.0%)","80,022,808",51,51 (100.0%),"12,695",1,1
0105000,전체,2018-06-08,55,20184981,남자와 여자,4 상승,2018-05-31,"390,000",0.0%,"18,000 (4.8%)","5,072,200",50,6 (13.6%),603,1,1
0105000,전체,2018-06-08,56,20173436,셰이프 오브 워터: 사랑의 모양,11 상승,2018-02-22,"476,000",0.0%,"194,500 (69.1%)","4,209,703,900",49,21 (75.0%),"506,213",2,2
0105000,전체,2018-06-08,57,20183384,서산개척단,9 하락,2018-05-24,"142,500",0.0%,"-54,000 (-27.5%)","40,976,100",45,-21 (-31.8%),"4,843",9,13
0105000,전체,2018-06-08,57,20134104,호세마리아 신부의 길,New,2013-11-28,"90,000",0.0%,"90,000 (100.0%)","14,169,000",45,45 (100.0%),"2,347",1,1
0105000,전체,2018-06-08,59,20080985,당신에게 오늘 밤을,New,1971-10-02,"84,000",0.0%,"84,000 (100.0%)","1,674,000",42,42 (100.0%),334,1,1
0105000,전체,2018-06-08,60,20184361,영혼의 순례길,7 상승,2018-05-24,"258,000",0.0%,"47,000 (22.3%)","9,377,200",32,4 (14.3%),"1,174",4,4
0105000,전체,2018-06-08,61,20181161,트립 투 스페인,10 하락,2018-05-17,"174,000",0.0%,"-231,000 (-57.0%)","87,951,317",27,-32 (-54.2%),"11,055",6,6
0105000,전체,2018-06-08,62,20177005,레슬러,30 하락,2018-05-09,"246,500",0.0%,"-949,500 (-79.4%)","6,469,009,357",25,-149 (-85.6%),"769,365",4,5
0105000,전체,2018-06-08,63,20183423,오목소녀,14 상승,2018-05-24,"133,500",0.0%,"50,500 (60.8%)","6,801,800",24,12 (100.0%),978,10,15
0105000,전체,2018-06-08,63,20178863,아라비안 나이트,6 하락,,"48,000",0.0%,"-42,000 (-46.7%)","3,720,000",24,-21 (-46.7%),"1,860",1,4
0105000,전체,2018-06-08,63,20179462,위대한 쇼맨,13 상승,2017-12-20,"234,300",0.0%,"115,000 (96.4%)","11,510,487,400",24,10 (71.4%),"1,402,648",1,2
0105000,전체,2018-06-08,66,19568005,수색자,3 상승,,"46,000",0.0%,"-8,000 (-14.8%)","12,695,000",23,-4 (-14.8%),"5,651",1,3
0105000,전체,2018-06-08,67,20184762,류이치 사카모토: 코다,16 하락,2018-06-14,"205,500",0.0%,"-322,500 (-61.1%)","8,797,300",21,-38 (-64.4%),855,1,1
0105000,전체,2018-06-08,67,19890122,육체의 악마,New,1989-03-04,"102,000",0.0%,"102,000 (100.0%)","1,326,000",21,21 (100.0%),218,1,1
0105000,전체,2018-06-08,67,20143280,초원은 돌아올 것이다,New,,"100,000",0.0%,"100,000 (100.0%)","160,000",21,21 (100.0%),31,1,1
0105000,전체,2018-06-08,70,20176106,청년 마르크스,26 하락,2018-05-17,"176,600",0.0%,"-483,400 (-73.2%)","45,727,100",20,-67 (-77.0%),"5,495",4,4
0105000,전체,2018-06-08,71,20126328,그린 맨션,New,,"38,000",0.0%,"38,000 (100.0%)","11,822,000",19,19 (100.0%),"5,546",1,1
0105000,전체,2018-06-08,71,20172124,메이플쏘프,New,2018-06-21,"192,500",0.0%,"192,500 (100.0%)","2,861,500",19,19 (100.0%),345,1,1
0105000,전체,2018-06-08,73,20165927,문라이트,1 하락,2017-02-22,"163,500",0.0%,"-71,500 (-30.4%)","1,410,728,095",18,-7 (-28.0%),"178,394",1,1
0105000,전체,2018-06-08,74,20150942,캐롤,12 하락,2016-02-04,"173,000",0.0%,"-111,000 (-39.1%)","2,660,974,253",17,-19 (-52.8%),"321,286",1,1
0105000,전체,2018-06-08,75,20167149,산타모니카 인 러브,6 상승,2018-05-31,"111,000",0.0%,"48,400 (77.3%)","7,692,800",16,8 (100.0%),992,2,2
0105000,전체,2018-06-08,75,20178424,레이디 버드,17 하락,2018-04-04,"144,000",0.0%,"-324,000 (-69.2%)","827,395,500",16,-34 (-68.0%),"101,683",1,2
0105000,전체,2018-06-08,77,20183925,극장판 페어리 테일: 드래곤 크라이,4 하락,2018-05-31,"112,000",0.0%,"-81,000 (-42.0%)","41,732,900",15,-9 (-37.5%),"4,997",10,10
0105000,전체,2018-06-08,77,19538011,동경 이야기,New,2014-08-16,"112,000",0.0%,"112,000 (100.0%)","10,022,400",15,15 (100.0%),"1,346",1,1
0105000,전체,2018-06-08,77,20140626,레마겐의 철교,New,,"30,000",0.0%,"30,000 (100.0%)","114,000",15,15 (100.0%),57,1,1
0105000,전체,2018-06-08,80,20164844,불한당: 나쁜 놈들의 세상,11 상승,2017-05-17,"140,000",0.0%,"120,000 (600.0%)","7,667,917,125",14,12 (600.0%),"953,185",1,1
0105000,전체,2018-06-08,81,20123133,잠자는 미녀,New,,"56,000",0.0%,"56,000 (100.0%)","826,000",13,13 (100.0%),159,1,1
0105000,전체,2018-06-08,82,20173991,얼굴들,New,2019-01-24,"82,000",0.0%,"82,000 (100.0%)","1,557,000",12,12 (100.0%),225,1,1
0105000,전체,2018-06-08,83,20072065,파산의 기술,New,,"77,000",0.0%,"77,000 (100.0%)","263,000",11,11 (100.0%),45,1,1
0105000,전체,2018-06-08,84,20185245,[인디포럼2018] 신작전 06 사라지지 않을 이유,New,,"69,000",0.0%,"69,000 (100.0%)","69,000",10,10 (100.0%),10,1,1
0105000,전체,2018-06-08,84,20185261,[인디포럼2018] 신작전 02 끝까지 간다,New,,"70,000",0.0%,"70,000 (100.0%)","70,000",10,10 (100.0%),10,1,1
0105000,전체,2018-06-08,86,20185272,"[인디포럼2018] 포워드 04 영화, 공간 그리고 신체",New,,"63,000",0.0%,"63,000 (100.0%)","63,000",9,9 (100.0%),9,1,1
0105000,전체,2018-06-08,87,20183502,다이빙벨 그후,18 하락,2018-05-24,"47,000",0.0%,"-134,000 (-74.0%)","23,174,000",7,-20 (-74.1%),"2,930",2,2
