지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2013-06-27,1,20122122,월드 워 Z,동일,2013-06-20,"1,048,360,000",40.9%,"-237,778,000 (-18.5%)","16,670,886,000","149,700","-36,406 (-19.6%)","2,257,673",691,"3,840"
0105000,전체,2013-06-27,2,20129114,더 웹툰: 예고살인,New,2013-06-27,"546,527,500",21.3%,"546,527,500 (100.0%)","616,046,500","80,164","80,164 (100.0%)","91,795",541,"2,979"
0105000,전체,2013-06-27,3,20137815,화이트 하우스 다운,6 상승,2013-06-27,"396,016,500",15.4%,"381,968,500 (2,719.0%)","414,928,500","60,803","58,989 (3,251.9%)","63,225",457,"1,975"
0105000,전체,2013-06-27,4,20126672,은밀하게 위대하게,2 하락,2013-06-05,"286,218,000",11.2%,"-112,294,500 (-28.2%)","44,882,155,913","43,903","-16,483 (-27.3%)","6,408,601",377,"1,699"
0105000,전체,2013-06-27,5,20137961,맨 오브 스틸,2 하락,2013-06-13,"123,448,500",4.8%,"-141,061,000 (-53.3%)","15,894,741,398","17,382","-19,604 (-53.0%)","2,024,064",298,961
0105000,전체,2013-06-27,6,20138884,빅 웨딩,New,2013-06-27,"31,778,500",1.2%,"31,778,500 (100.0%)","41,890,500","5,044","5,044 (100.0%)","6,458",149,467
0105000,전체,2013-06-27,7,19930176,쥬라기 공원,New,1993-07-17,"34,483,000",1.3%,"34,483,000 (100.0%)","50,082,000","2,754","2,754 (100.0%)","4,117",82,241
0105000,전체,2013-06-27,8,20123329,스타트렉 다크니스,3 하락,2013-05-30,"15,732,000",0.6%,"-35,017,500 (-69.0%)","12,775,765,500","2,425","-5,387 (-69.0%)","1,579,486",39,100
0105000,전체,2013-06-27,9,20139222,라스트 엑소시즘: 잠들지 않는 영혼,New,2013-06-27,"7,596,000",0.3%,"7,596,000 (100.0%)","10,204,000","1,124","1,124 (100.0%)","1,450",87,174
0105000,전체,2013-06-27,10,20134562,비포 미드나잇,2 상승,2013-05-22,"6,869,000",0.3%,"-2,108,500 (-23.5%)","1,330,757,700","1,030",-308 (-23.0%),"181,903",23,38
0105000,전체,2013-06-27,11,20138141,더 콜,7 하락,2013-06-20,"6,097,500",0.2%,"-68,871,500 (-91.9%)","582,886,000","1,001","-10,322 (-91.2%)","82,713",33,66
0105000,전체,2013-06-27,12,20126003,길위에서,3 상승,2013-05-23,"6,239,500",0.2%,"-717,000 (-10.3%)","149,139,000",971,-124 (-11.3%),"21,290",12,18
0105000,전체,2013-06-27,13,20136219,위대한 개츠비,동일,2013-05-16,"6,009,500",0.2%,"-1,793,000 (-23.0%)","10,514,602,143",935,-289 (-23.6%),"1,436,476",7,15
0105000,전체,2013-06-27,14,20138882,코스모폴리스,New,2013-06-27,"5,667,500",0.2%,"5,667,500 (100.0%)","9,309,000",789,789 (100.0%),"1,322",23,51
0105000,전체,2013-06-27,15,20139081,타이치0 3D,8 하락,2013-07-04,"6,793,000",0.3%,"-18,778,000 (-73.4%)","43,683,000",787,"-2,832 (-78.3%)","6,023",4,4
0105000,전체,2013-06-27,16,19548015,돌아오지 않는 강,2 상승,1971-04-27,"1,494,000",0.1%,"-18,000 (-1.2%)","4,965,858",742,-14 (-1.9%),"3,797",1,4
0105000,전체,2013-06-27,17,20137963,백악관 최후의 날,3 하락,2013-06-05,"2,651,000",0.1%,"-4,497,500 (-62.9%)","1,250,541,500",453,-742 (-62.1%),"177,788",7,11
0105000,전체,2013-06-27,18,20137081,이별계약,7 하락,2013-06-20,"3,034,000",0.1%,"-7,807,000 (-72.0%)","93,166,000",432,"-1,211 (-73.7%)","12,829",23,38
0105000,전체,2013-06-27,19,20134484,어느 예술가의 마지막 일주일,동일,2013-06-20,"2,601,000",0.1%,"-1,075,000 (-29.2%)","45,251,500",426,-135 (-24.1%),"6,425",17,28
0105000,전체,2013-06-27,20,20139262,극장판 헌터X헌터 : 팬텀루즈,New,2013-06-27,"2,327,000",0.1%,"2,327,000 (100.0%)","3,023,000",369,369 (100.0%),485,42,72
