지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2023-09-10,1,20224667,잠,동일,2023-09-06,"1,492,881,618",43.8%,"-166,397,106 (-10.0%)","5,302,628,084","147,682","-17,424 (-10.6%)","539,031","1,214","5,606"
0105000,전체,2023-09-10,2,20226431,오펜하이머,동일,2023-08-15,"518,196,432",15.2%,"-118,499,462 (-18.6%)","31,962,645,588","47,071","-10,806 (-18.7%)","2,992,136",924,"2,623"
0105000,전체,2023-09-10,3,20226500,달짝지근해: 7510,1 상승,2023-08-15,"283,476,532",8.3%,"-24,191,519 (-7.9%)","12,208,148,879","28,461","-2,775 (-8.9%)","1,255,205",764,"2,015"
0105000,전체,2023-09-10,4,20204264,콘크리트 유토피아,1 하락,2023-08-09,"274,932,727",8.1%,"-45,584,750 (-14.2%)","36,598,772,108","27,810","-4,418 (-13.7%)","3,747,612",736,"2,077"
0105000,전체,2023-09-10,5,20233014,타겟,동일,2023-08-30,"208,204,785",6.1%,"3,863,082 (1.9%)","3,589,687,164","21,144",94 (0.4%),"379,815",760,"1,974"
0105000,전체,2023-09-10,6,20228930,엘리멘탈,동일,2023-06-14,"183,484,982",5.4%,"3,312,183 (1.8%)","70,554,069,021","18,223",371 (2.1%),"7,179,719",539,900
0105000,전체,2023-09-10,7,20090379,해리 포터와 혼혈 왕자,동일,2009-07-15,"113,355,000",3.3%,"-13,855,500 (-10.9%)","20,675,726,000","10,028","-1,041 (-9.4%)","2,993,239",41,219
0105000,전체,2023-09-10,8,20218541,밀수,동일,2023-07-26,"70,300,919",2.1%,"-7,952,541 (-10.2%)","49,397,693,096","7,011",-685 (-8.9%),"5,113,127",426,617
0105000,전체,2023-09-10,9,20232948,생츄어리: 마법의 소원나무,1 상승,2023-09-06,"37,162,700",1.1%,"2,469,050 (7.1%)","85,696,700","4,301",271 (6.7%),"10,149",188,252
0105000,전체,2023-09-10,10,20233075,신체모음.zip,1 상승,2023-08-30,"33,845,700",1.0%,"-2,493,800 (-6.9%)","473,262,700","3,250",-360 (-10.0%),"51,250",209,343
0105000,전체,2023-09-10,11,20232629,마야 3: 숲속 왕국의 위기,1 상승,2023-08-24,"22,884,300",0.7%,"1,600,200 (7.5%)","370,265,500","2,974",237 (8.7%),"44,822",157,198
0105000,전체,2023-09-10,12,20211540,듣보인간의 생존신고,1 상승,2023-09-06,"14,979,456",0.4%,"-3,589,067 (-19.3%)","104,080,230","1,473",-344 (-18.9%),"10,728",84,114
0105000,전체,2023-09-10,13,20231253,일주일간 친구,1 상승,2023-09-06,"11,156,300",0.3%,"-3,359,950 (-23.1%)","142,416,400","1,203",-286 (-19.2%),"13,003",137,245
