지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2019-11-28,1,20197803,겨울왕국 2,동일,2019-11-21,"2,298,128,030",63.7%,"-1,367,353,450 (-37.3%)","49,479,159,570","287,605","-311,980 (-52.0%)","5,998,107","1,922","10,105"
0105000,전체,2019-11-28,2,20185161,나를 찾아줘,동일,2019-11-27,"461,530,970",12.8%,"-189,427,730 (-29.1%)","1,138,541,670","58,906","-49,829 (-45.8%)","170,533",844,"3,481"
0105000,전체,2019-11-28,3,20195002,블랙머니,동일,2019-11-13,"303,703,740",8.4%,"-70,970,700 (-18.9%)","17,153,699,970","38,837","-22,605 (-36.8%)","2,034,169",683,"1,584"
0105000,전체,2019-11-28,4,20199428,크롤,동일,2019-11-27,"116,192,020",3.2%,"-28,354,740 (-19.6%)","293,859,780","14,637","-8,916 (-37.9%)","41,825",591,"1,611"
0105000,전체,2019-11-28,5,20199576,러브 앳,1 상승,2019-11-27,"56,229,500",1.6%,"2,582,500 (4.8%)","139,712,000","7,279","-1,467 (-16.8%)","19,935",146,520
0105000,전체,2019-11-28,6,20197336,허슬러,1 하락,2019-11-27,"44,153,100",1.2%,"-21,157,440 (-32.4%)","134,764,640","5,420","-4,582 (-45.8%)","18,480",445,947
0105000,전체,2019-11-28,7,20181434,신의 한 수: 귀수편,동일,2019-11-07,"34,049,940",0.9%,"-14,684,780 (-30.1%)","18,267,465,430","4,827","-2,837 (-37.0%)","2,131,227",164,229
0105000,전체,2019-11-28,8,20191029,82년생 김지영,동일,2019-10-23,"30,118,140",0.8%,"-6,413,580 (-17.6%)","30,086,983,030","4,081","-2,062 (-33.6%)","3,652,070",163,217
0105000,전체,2019-11-28,9,20192401,포드 V 페라리,New,2019-12-04,"29,480,000",0.8%,"29,480,000 (100.0%)","59,847,000","2,863","2,863 (100.0%)","6,016",23,23
0105000,전체,2019-11-28,10,20188462,감쪽같은 그녀,9 상승,2019-12-04,"16,534,000",0.5%,"12,098,000 (272.7%)","214,651,000","2,420","1,739 (255.4%)","32,764",11,11
0105000,전체,2019-11-28,11,20196284,윤희에게,2 하락,2019-11-14,"18,378,960",0.5%,"-2,757,740 (-13.0%)","595,765,770","2,289",-985 (-30.1%),"75,715",75,133
0105000,전체,2019-11-28,12,20181164,카센타,5 상승,2019-11-27,"13,934,460",0.4%,"7,866,220 (129.6%)","30,374,700","1,973",900 (83.9%),"4,170",137,224
0105000,전체,2019-11-28,13,20190014,오피셜 시크릿,3 하락,2019-11-27,"11,382,400",0.3%,"952,700 (9.1%)","30,812,100","1,474",-240 (-14.0%),"4,188",153,286
0105000,전체,2019-11-28,14,20198962,결혼 이야기,3 하락,2019-11-27,"10,764,580",0.3%,"7,760 (0.1%)","22,881,400","1,408",-304 (-17.8%),"3,290",83,126
0105000,전체,2019-11-28,15,20190385,웃는남자 감독판,New,2019-11-29,"18,032,000",0.5%,"18,032,000 (100.0%)","18,032,000","1,330","1,330 (100.0%)","1,330",19,19
0105000,전체,2019-11-28,16,20188404,암전,New,2019-08-15,"11,790,000",0.3%,"11,790,000 (100.0%)","933,064,215","1,179","1,179 (100.0%)","105,574",7,7
0105000,전체,2019-11-28,17,20190288,SIFF2019-개막식,New,,"7,497,000",0.2%,"7,497,000 (100.0%)","7,497,000","1,071","1,071 (100.0%)","1,071",1,3
0105000,전체,2019-11-28,18,20196405,극장판 타오르지마 버스터-블랙어썰트의 귀환,New,2019-12-05,"9,171,000",0.3%,"9,171,000 (100.0%)","10,787,000","1,019","1,019 (100.0%)","1,221",5,5
0105000,전체,2019-11-28,19,20184341,얼굴없는 보스,3 상승,2019-11-21,"9,791,500",0.3%,"5,660,120 (137.0%)","185,632,000","1,007",514 (104.3%),"22,122",25,29
0105000,전체,2019-11-28,20,20190142,굿 라이어,New,2019-12-05,"8,955,000",0.2%,"8,955,000 (100.0%)","27,536,000",995,995 (100.0%),"3,120",4,4
0105000,전체,2019-11-28,21,20192083,터미네이터: 다크 페이트,8 하락,2019-10-30,"7,668,480",0.2%,"-991,780 (-11.5%)","20,045,020,170",969,-435 (-31.0%),"2,396,100",28,38
0105000,전체,2019-11-28,22,20198942,아이리시맨,6 하락,2019-11-20,"7,018,940",0.2%,"-347,100 (-4.7%)","177,377,520",933,-247 (-20.9%),"20,684",29,37
0105000,전체,2019-11-28,23,20195561,행동하는 양심 김대중,New,2019-11-28,"5,535,080",0.2%,"5,535,080 (100.0%)","11,155,080",813,813 (100.0%),"1,408",86,117
0105000,전체,2019-11-28,24,20199867,프란치스코 교황 : 맨 오브 히스 워드,12 하락,2019-11-21,"5,057,600",0.1%,"-3,713,600 (-42.3%)","77,339,940",718,-750 (-51.1%),"10,212",23,31
0105000,전체,2019-11-28,25,20183844,마이펫의 이중생활 2,New,2019-07-31,"6,260,000",0.2%,"6,260,000 (100.0%)","8,512,902,825",626,626 (100.0%),"1,114,949",2,2
0105000,전체,2019-11-28,26,20184543,변신,New,2019-08-21,"6,160,000",0.2%,"6,160,000 (100.0%)","15,417,922,925",616,616 (100.0%),"1,804,112",4,4
0105000,전체,2019-11-28,27,20190280,날씨의 아이,7 하락,2019-10-30,"3,862,160",0.1%,"-536,540 (-12.2%)","5,341,271,030",504,-112 (-18.2%),"647,008",11,12
0105000,전체,2019-11-28,27,20196705,집 이야기,4 상승,2019-11-28,"4,107,480",0.1%,"2,562,480 (165.9%)","9,613,480",504,195 (63.1%),"1,268",79,130
0105000,전체,2019-11-28,29,20184133,어제 일은 모두 괜찮아,5 하락,2019-11-21,"3,221,500",0.1%,"490,020 (17.9%)","77,157,000",496,77 (18.4%),"8,774",12,13
0105000,전체,2019-11-28,30,20193662,마녀: 소녀의 비밀,New,2019-07-24,"2,000,000",0.1%,"2,000,000 (100.0%)","30,398,520",400,400 (100.0%),"11,680",1,2
0105000,전체,2019-11-28,31,20196679,어메이징 그레이스,27 상승,2019-11-28,"2,614,500",0.1%,"1,931,500 (282.8%)","11,217,500",357,272 (320.0%),"1,342",27,45
0105000,전체,2019-11-28,32,20193681,추격자: 살인자의 증거,New,2019-07-24,"1,890,600",0.1%,"1,890,600 (100.0%)","36,461,280",345,345 (100.0%),"12,796",1,1
0105000,전체,2019-11-28,33,20198430,나이브스 아웃,6 상승,2019-12-04,"2,656,000",0.1%,"955,000 (56.1%)","40,223,000",332,143 (75.7%),"4,537",1,1
0105000,전체,2019-11-28,34,20196760,대통령의 7시간,5 하락,2019-11-14,"2,349,200",0.1%,"-33,300 (-1.4%)","205,274,780",309,-34 (-9.9%),"23,874",12,17
0105000,전체,2019-11-28,35,20184574,그린 북,10 상승,2019-01-09,"1,949,000",0.1%,"1,204,000 (161.6%)","3,665,490,860",307,158 (106.0%),"437,738",2,2
0105000,전체,2019-11-28,36,20184621,엑시트,동일,2019-07-31,"1,921,000",0.1%,"731,000 (61.4%)","79,220,368,162",303,65 (27.3%),"9,424,018",2,2
0105000,전체,2019-11-28,37,20193601,장사리 : 잊혀진 영웅들,16 하락,2019-09-25,"1,535,000",0.0%,"-1,445,000 (-48.5%)","8,974,666,050",289,-307 (-51.5%),"1,136,575",3,4
0105000,전체,2019-11-28,38,20199872,함정,New,,"574,000",0.0%,"574,000 (100.0%)","574,000",287,287 (100.0%),287,1,5
0105000,전체,2019-11-28,39,20184483,퍼펙트맨,4 하락,2019-10-02,"1,524,000",0.0%,"294,000 (23.9%)","10,299,971,770",258,12 (4.9%),"1,238,741",2,2
0105000,전체,2019-11-28,40,20192821,트레킹: 저주의 숲,New,2019-07-04,"1,370,000",0.0%,"1,370,000 (100.0%)","37,283,200",250,250 (100.0%),"12,917",1,1
0105000,전체,2019-11-28,41,20182530,극한직업,New,2019-01-23,"1,150,000",0.0%,"1,150,000 (100.0%)","139,650,279,516",230,230 (100.0%),"16,265,404",1,1
