지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2012-07-08,1,20124062,연가시,1 상승,2012-07-05,"3,044,326,000",39.7%,"-281,963,164 (-8.5%)","9,600,707,664","416,659","-42,459 (-9.2%)","1,329,306",759,"3,701"
0105000,전체,2012-07-08,2,20126077,어메이징 스파이더맨,1 하락,2012-06-28,"3,268,666,000",42.6%,"-636,943,664 (-16.3%)","29,365,730,364","387,876","-73,708 (-16.0%)","3,369,599",887,"4,387"
0105000,전체,2012-07-08,3,20127108,모모와 다락방의 수상한 요괴들,동일,2012-07-05,"327,957,500",4.3%,"22,576,000 (7.4%)","767,926,000","49,080","2,849 (6.2%)","115,388",253,658
0105000,전체,2012-07-08,4,20124136,마다가스카3 : 이번엔 서커스다!,동일,2012-06-06,"279,628,500",3.6%,"-1,017,000 (-0.4%)","11,972,893,000","39,339",-748 (-1.9%),"1,548,177",248,652
0105000,전체,2012-07-08,5,20126686,미드나잇 인 파리,1 상승,2012-07-05,"155,914,000",2.0%,"-30,604,031 (-16.4%)","605,313,597","20,414","-3,797 (-15.7%)","80,703",189,484
0105000,전체,2012-07-08,6,20113821,더 레이븐,1 하락,2012-07-05,"156,093,000",2.0%,"-41,488,000 (-21.0%)","654,746,500","20,389","-5,430 (-21.0%)","87,868",265,917
0105000,전체,2012-07-08,7,20113554,내 아내의 모든 것,동일,2012-05-17,"127,705,500",1.7%,"-37,340,500 (-22.6%)","33,726,943,000","16,978","-4,941 (-22.5%)","4,526,445",174,433
0105000,전체,2012-07-08,8,20113533,후궁 : 제왕의 첩,동일,2012-06-06,"84,528,500",1.1%,"-43,216,000 (-33.8%)","18,912,306,500","11,147","-5,746 (-34.0%)","2,575,573",218,519
0105000,전체,2012-07-08,9,20126410,헤이와이어,동일,2012-07-05,"56,465,500",0.7%,"-18,690,763 (-24.9%)","244,544,824","7,714","-2,781 (-26.5%)","34,252",191,538
0105000,전체,2012-07-08,10,20126566,캐빈 인 더 우즈,동일,2012-06-28,"48,321,500",0.6%,"-18,000,500 (-27.1%)","1,593,114,000","6,069","-2,226 (-26.8%)","212,230",153,347
0105000,전체,2012-07-08,11,20124055,아부의 왕,동일,2012-06-21,"27,817,500",0.4%,"-11,261,000 (-28.8%)","3,436,415,000","3,849","-1,689 (-30.5%)","486,543",85,166
0105000,전체,2012-07-08,12,20113532,미쓰GO,동일,2012-06-21,"20,299,500",0.3%,"-4,354,500 (-17.7%)","4,402,533,500","2,778",-592 (-17.6%),"605,867",79,181
0105000,전체,2012-07-08,13,20112443,두 개의 문,1 상승,2012-06-21,"15,426,000",0.2%,"-3,854,500 (-20.0%)","206,144,900","2,143",-478 (-18.2%),"29,062",34,61
0105000,전체,2012-07-08,14,20126506,폭풍의 언덕,1 상승,2012-06-28,"9,226,500",0.1%,"-1,882,000 (-16.9%)","92,597,800","1,214",-252 (-17.2%),"12,774",23,42
0105000,전체,2012-07-08,15,20124061,두 번의 결혼식과 한 번의 장례식,1 상승,2012-06-21,"8,623,000",0.1%,"-1,580,000 (-15.5%)","324,230,700","1,150",-153 (-11.7%),"43,112",32,43
0105000,전체,2012-07-08,16,20124065,차형사,2 상승,2012-05-30,"5,145,000",0.1%,"-1,442,000 (-21.9%)","9,742,572,796",725,-214 (-22.8%),"1,345,333",10,21
0105000,전체,2012-07-08,17,20126408,시작은 키스!,동일,2012-06-14,"5,322,000",0.1%,"-2,485,000 (-31.8%)","198,701,500",689,-271 (-28.2%),"25,948",13,15
0105000,전체,2012-07-08,18,20126446,해피 해피 브레드,2 상승,2012-06-28,"4,570,000",0.1%,"89,000 (2.0%)","39,418,500",584,-45 (-7.2%),"5,319",12,17
0105000,전체,2012-07-08,19,19558011,에덴의 동쪽,동일,1973-02-22,"993,000",0.0%,"-395,000 (-28.5%)","8,863,500",494,-190 (-27.8%),"3,307",1,4
0105000,전체,2012-07-08,20,20113553,I AM,1 상승,2012-06-21,"2,593,500",0.0%,"-155,500 (-5.7%)","231,145,000",365,-28 (-7.1%),"31,029",11,11
0105000,전체,2012-07-08,21,20125967,멜랑콜리아,1 상승,2012-05-17,"1,026,000",0.0%,"-86,000 (-7.7%)","123,999,800",311,-16 (-4.9%),"16,169",3,4
