지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2006-11-28,1,20060353,해바라기,동일,2006-11-23,"254,258,200",30.4%,"13,884,900 (5.8%)","2,432,081,100","43,900","3,251 (8.0%)","401,483",225,"1,280"
0105000,전체,2006-11-28,2,20060337,디파티드,동일,2006-11-23,"144,411,800",17.3%,"-13,001,900 (-8.3%)","1,776,029,600","24,689","-1,939 (-7.3%)","288,744",188,904
0105000,전체,2006-11-28,3,20060334,스텝 업,동일,2006-11-23,"100,513,500",12.0%,"6,583,000 (7.0%)","863,965,500","18,059","1,493 (9.0%)","146,329",126,790
0105000,전체,2006-11-28,4,20060283,애정결핍이 두 남자에게 미치는 영향,동일,2006-11-16,"68,555,100",8.2%,"-2,035,800 (-2.9%)","2,608,926,400","12,046",-8 (-0.1%),"440,916",199,918
0105000,전체,2006-11-28,5,20060264,악마는 프라다를 입는다,동일,2006-10-25,"54,634,400",6.5%,"971,300 (1.8%)","8,004,864,300","9,850",98 (1.0%),"1,320,433",108,458
0105000,전체,2006-11-28,6,20060352,누가 그녀와 잤을까?,동일,2006-11-16,"49,544,900",5.9%,"776,600 (1.6%)","1,914,693,600","8,600",265 (3.2%),"326,520",170,761
0105000,전체,2006-11-28,7,20060315,플러쉬,동일,2006-11-23,"28,322,000",3.4%,"-100,000 (-0.4%)","791,508,300","5,352",139 (2.7%),"141,799",157,542
0105000,전체,2006-11-28,8,20060311,어느 멋진 순간,동일,2006-11-16,"26,202,500",3.1%,"729,500 (2.9%)","1,122,039,500","4,475",155 (3.6%),"180,096",105,340
0105000,전체,2006-11-28,9,20060340,프레스티지,동일,2006-11-02,"17,485,000",2.1%,"676,000 (4.0%)","2,777,871,500","2,975",193 (6.9%),"445,703",39,135
0105000,전체,2006-11-28,10,20060261,열혈남아,동일,2006-11-09,"14,165,100",1.7%,"-1,942,000 (-12.1%)","2,811,030,400","2,462",-309 (-11.2%),"462,032",94,288
0105000,전체,2006-11-28,11,20060301,데스노트,동일,2006-11-02,"11,888,000",1.4%,"295,500 (2.5%)","3,677,746,500","2,101",34 (1.6%),"642,299",76,221
0105000,전체,2006-11-28,12,20060310,그루지 2,동일,2006-11-16,"9,396,000",1.1%,"-1,167,500 (-11.1%)","766,833,000","1,626",-201 (-11.0%),"134,690",99,235
