지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2024-08-31,1,20249188,에이리언: 로물루스,동일,2024-08-14,"989,199,632",21.0%,"523,118,602 (112.2%)","16,004,583,339","100,045","53,451 (114.7%)","1,560,130","1,020","4,152"
0105000,전체,2024-08-31,2,20224666,파일럿,동일,2024-07-31,"548,083,389",11.6%,"303,255,002 (123.9%)","41,070,558,861","67,278","37,516 (126.1%)","4,457,930",866,"2,919"
0105000,전체,2024-08-31,3,20242794,임영웅│아임 히어로 더 스타디움,동일,2024-08-28,"1,124,787,500",23.8%,"521,288,000 (86.4%)","3,843,267,500","38,955","18,085 (86.7%)","133,841",217,"1,056"
0105000,전체,2024-08-31,4,20249733,사랑의 하츄핑,6 상승,2024-08-07,"323,133,351",6.8%,"286,235,795 (775.8%)","7,679,896,522","35,029","30,926 (753.7%)","849,826",695,"1,310"
0105000,전체,2024-08-31,5,20241337,트위스터스,1 하락,2024-08-14,"336,959,371",7.1%,"202,673,282 (150.9%)","5,507,477,098","31,393","18,863 (150.5%)","531,745",552,"1,077"
0105000,전체,2024-08-31,6,20225969,늘봄가든,1 하락,2024-08-21,"297,289,278",6.3%,"185,646,915 (166.3%)","2,909,405,103","29,499","18,498 (168.1%)","304,231",683,"1,581"
0105000,전체,2024-08-31,7,20231042,빅토리,동일,2024-08-14,"193,361,979",4.1%,"110,756,222 (134.1%)","3,303,315,922","20,777","11,798 (131.4%)","362,882",619,955
0105000,전체,2024-08-31,8,20200162,소년시절의 너,2 하락,2020-07-09,"180,015,935",3.8%,"79,086,860 (78.4%)","1,190,775,215","18,564","8,097 (77.4%)","137,474",467,818
0105000,전체,2024-08-31,9,20204271,행복의 나라,1 하락,2024-08-14,"105,762,217",2.2%,"41,200,669 (63.8%)","6,302,599,896","11,241","4,316 (62.3%)","681,731",619,996
0105000,전체,2024-08-31,10,20226545,한국이 싫어서,1 하락,2024-08-28,"76,173,570",1.6%,"22,527,129 (42.0%)","302,312,630","8,334","2,247 (36.9%)","35,699",558,987
0105000,전체,2024-08-31,11,20241098,극장판 블루 록 -에피소드 나기-,4 상승,2024-08-21,"50,765,400",1.1%,"38,685,200 (320.2%)","506,433,800","5,539","4,218 (319.3%)","57,018",148,219
0105000,전체,2024-08-31,12,20240104,이매지너리,1 하락,2024-08-28,"48,480,400",1.0%,"25,719,700 (113.0%)","153,594,000","5,120","2,400 (88.2%)","19,353",216,381
0105000,전체,2024-08-31,13,20247440,슈퍼배드 4,5 상승,2024-07-24,"45,572,765",1.0%,"39,040,165 (597.6%)","14,083,082,100","4,943","4,154 (526.5%)","1,548,560",196,251
0105000,전체,2024-08-31,14,20229365,필사의 추격,2 하락,2024-08-21,"39,683,690",0.8%,"17,083,466 (75.6%)","966,794,527","4,777","2,072 (76.6%)","110,674",325,452
0105000,전체,2024-08-31,15,20242541,룩백,26 상승,2024-09-05,"37,292,636",0.8%,"34,997,636 (1,525.0%)","41,081,636","3,356","3,101 (1,216.1%)","3,777",31,32
0105000,전체,2024-08-31,16,20249305,가필드 더 무비,1 상승,2024-05-15,"24,900,695",0.5%,"16,990,695 (214.8%)","3,153,643,827","2,980","1,989 (200.7%)","358,611",96,144
