지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2023-09-18,1,20224667,잠,동일,2023-09-06,"316,618,855",31.6%,"-823,593,396 (-72.2%)","10,502,888,049","32,732","-80,330 (-71.0%)","1,063,763","1,045","4,356"
0105000,전체,2023-09-18,2,20234044,베니스 유령 살인사건,동일,2023-09-13,"85,374,708",8.5%,"-222,855,960 (-72.3%)","1,386,687,515","8,983","-21,505 (-70.5%)","141,037",677,"2,199"
0105000,전체,2023-09-18,3,20233743,아이유 콘서트 : 더 골든 아워,5 상승,2023-09-13,"178,741,500",17.8%,"-67,393,000 (-27.4%)","1,226,826,500","7,630","-2,656 (-25.8%)","52,155",57,143
0105000,전체,2023-09-18,4,20226431,오펜하이머,1 하락,2023-08-15,"70,920,524",7.1%,"-181,209,629 (-71.9%)","33,244,330,805","7,521","-17,941 (-70.5%)","3,118,860",611,"1,376"
0105000,전체,2023-09-18,5,20226500,달짝지근해: 7510,동일,2023-08-15,"53,339,402",5.3%,"-99,533,464 (-65.1%)","13,003,103,170","6,084","-9,434 (-60.8%)","1,339,080",550,"1,056"
0105000,전체,2023-09-18,6,20228819,30일,New,2023-10-03,"52,866,000",5.3%,"52,866,000 (100.0%)","52,866,000","5,874","5,874 (100.0%)","5,874",25,27
0105000,전체,2023-09-18,7,20204264,콘크리트 유토피아,1 하락,2023-08-09,"36,340,043",3.6%,"-67,081,053 (-64.9%)","37,138,252,098","4,589","-8,339 (-64.5%)","3,814,513",534,981
0105000,전체,2023-09-18,8,20228016,"여름을 향한 터널, 이별의 출구",1 하락,2023-09-14,"33,498,800",3.3%,"-78,919,000 (-70.2%)","417,940,900","3,208","-7,422 (-69.8%)","40,933",233,481
0105000,전체,2023-09-18,9,20233643,닌자터틀: 뮤턴트 대소동,5 하락,2023-09-14,"20,886,562",2.1%,"-149,915,094 (-87.8%)","488,150,343","2,447","-15,884 (-86.7%)","53,319",415,666
0105000,전체,2023-09-18,10,20197122,1947 보스톤,16 상승,2023-09-27,"20,628,000",2.1%,"15,652,000 (314.5%)","102,833,000","2,292","1,997 (676.9%)","10,571",12,12
0105000,전체,2023-09-18,11,20233014,타겟,1 하락,2023-08-30,"18,055,494",1.8%,"-37,729,806 (-67.6%)","3,935,811,184","1,958","-3,918 (-66.7%)","417,021",345,533
0105000,전체,2023-09-18,12,20218541,밀수,동일,2023-07-26,"13,888,250",1.4%,"-21,465,631 (-60.7%)","49,603,683,718","1,475","-1,957 (-57.0%)","5,134,221",245,303
0105000,전체,2023-09-18,13,20090379,해리 포터와 혼혈 왕자,2 하락,2009-07-15,"12,798,500",1.3%,"-38,128,500 (-74.9%)","20,898,396,000","1,101","-3,312 (-75.1%)","3,012,268",41,175
0105000,전체,2023-09-18,14,20228930,엘리멘탈,5 하락,2023-06-14,"8,187,973",0.8%,"-81,343,964 (-90.9%)","70,814,696,215",968,"-8,189 (-89.4%)","7,206,575",164,193
0105000,전체,2023-09-18,15,20225824,치악산,1 상승,2023-09-13,"7,142,550",0.7%,"-15,686,350 (-68.7%)","156,017,850",766,"-1,546 (-66.9%)","17,888",158,224
0105000,전체,2023-09-18,16,20234071,이터널 메모리,23 상승,2023-09-20,"5,966,000",0.6%,"4,706,000 (373.5%)","7,226,000",677,551 (437.3%),803,3,3
0105000,전체,2023-09-18,17,20233075,신체모음.zip,2 상승,2023-08-30,"5,555,300",0.6%,"-8,291,200 (-59.9%)","560,946,600",574,-805 (-58.4%),"60,452",106,139
0105000,전체,2023-09-18,18,20224495,폭로,8 상승,2023-09-20,"3,969,000",0.4%,"2,443,000 (160.1%)","5,495,000",567,349 (160.1%),785,3,3
0105000,전체,2023-09-18,19,20233412,어파이어,3 상승,2023-09-13,"4,799,590",0.5%,"-5,492,033 (-53.4%)","82,629,748",543,-508 (-48.3%),"8,021",59,88
0105000,전체,2023-09-18,20,20225237,명탐정 코난: 할로윈의 신부,112 상승,2022-07-13,"4,438,000",0.4%,"4,357,000 (5,379.0%)","5,143,063,224",531,"522 (5,800.0%)","493,645",30,30
0105000,전체,2023-09-18,21,2023C685,플로라 앤 썬,12 상승,2023-09-22,"3,292,000",0.3%,"1,822,000 (123.9%)","4,762,000",460,250 (119.0%),670,3,3
0105000,전체,2023-09-18,22,20225851,마인드 유니버스,New,2023-09-20,"3,276,000",0.3%,"3,276,000 (100.0%)","3,276,000",364,364 (100.0%),364,2,2
0105000,전체,2023-09-18,23,20136219,위대한 개츠비,1 상승,2013-05-16,"2,573,676",0.3%,"-2,904,066 (-53.0%)","10,614,197,863",320,-297 (-48.1%),"1,449,139",42,74
0105000,전체,2023-09-18,24,20228555,더 퍼스트 슬램덩크,11 하락,2023-01-04,"2,916,939",0.3%,"-26,814,434 (-90.2%)","49,619,161,481",305,"-2,967 (-90.7%)","4,748,484",24,34
0105000,전체,2023-09-18,25,20232839,차박- 살인과 낭만의 밤,2 하락,2023-09-13,"2,323,328",0.2%,"-3,998,072 (-63.2%)","50,454,607",265,-437 (-62.3%),"5,669",62,79
0105000,전체,2023-09-18,26,20209654,헤어질 결심,1 하락,2022-06-29,"2,576,500",0.3%,"-2,187,000 (-45.9%)","19,720,517,478",262,-220 (-45.6%),"1,901,987",32,60
0105000,전체,2023-09-18,27,20223565,다음 소희,33 상승,2023-02-08,"2,184,000",0.2%,"1,601,000 (274.6%)","1,118,916,168",252,199 (375.5%),"117,642",1,3
0105000,전체,2023-09-18,28,20216710,명탐정 코난: 비색의 탄환,8 하락,2021-04-16,"1,736,400",0.2%,"-8,941,000 (-83.7%)","2,209,281,640",212,"-1,075 (-83.5%)","234,370",26,26
0105000,전체,2023-09-18,29,20211540,듣보인간의 생존신고,3 상승,2023-09-06,"1,577,350",0.2%,"-742,500 (-32.0%)","132,806,802",167,-70 (-29.5%),"13,871",36,44
0105000,전체,2023-09-18,30,20233120,어느 멋진 아침,3 하락,2023-09-06,"1,391,900",0.1%,"-2,296,600 (-62.3%)","50,379,685",162,-243 (-60.0%),"5,625",18,20
0105000,전체,2023-09-18,31,19618009,티파니에서 아침을,4 상승,,"357,000",0.0%,"-66,000 (-15.6%)","129,486,700",161,-26 (-13.9%),"29,299",1,4
0105000,전체,2023-09-18,32,20232629,마야 3: 숲속 왕국의 위기,17 하락,2023-08-24,"879,000",0.1%,"-15,448,500 (-94.6%)","417,640,500",153,"-2,375 (-93.9%)","52,275",18,18
0105000,전체,2023-09-18,33,20128274,레미제라블,3 하락,2012-12-19,"1,194,800",0.1%,"-1,184,300 (-49.8%)","43,213,761,613",133,-121 (-47.6%),"5,942,256",8,16
0105000,전체,2023-09-18,34,20234273,힙노틱,New,2023-09-20,"1,134,000",0.1%,"1,134,000 (100.0%)","1,134,000",126,126 (100.0%),126,1,1
0105000,전체,2023-09-18,35,20192725,명탐정 코난: 감청의 권,14 하락,2019-07-24,"981,000",0.1%,"-6,435,800 (-86.8%)","1,748,708,330",123,-778 (-86.3%),"220,102",28,28
0105000,전체,2023-09-18,36,20232948,생츄어리: 마법의 소원나무,19 하락,2023-09-06,"864,500",0.1%,"-12,450,500 (-93.5%)","120,726,800",112,"-1,499 (-93.0%)","14,559",15,16
0105000,전체,2023-09-18,37,20233668,청춘 돼지는 외출하는 여동생의 꿈을 꾸지 않는다,11 하락,2023-08-31,"916,851",0.1%,"-3,414,007 (-78.8%)","135,956,976",103,-349 (-77.2%),"14,194",25,27
0105000,전체,2023-09-18,38,20233413,뮤직 샤펠,4 하락,2023-09-13,"882,728",0.1%,"-1,179,650 (-57.2%)","11,948,006",102,-102 (-50.0%),"1,315",22,22
0105000,전체,2023-09-18,39,20231413,한 남자,2 상승,2023-08-30,"792,000",0.1%,"-498,300 (-38.6%)","134,629,150",100,-56 (-35.9%),"15,368",24,24
0105000,전체,2023-09-18,40,20232536,명탐정코난: 흑철의 어영,11 하락,2023-07-20,"937,139",0.1%,"-1,954,112 (-67.6%)","7,473,870,610",98,-178 (-64.5%),"779,932",22,24
0105000,전체,2023-09-18,41,20225880,잔고: 분노의 적자,13 하락,2023-09-13,"698,000",0.1%,"-1,915,800 (-73.3%)","11,816,706",87,-200 (-69.7%),"1,339",34,34
0105000,전체,2023-09-18,42,20218935,더 문,22 하락,2023-08-02,"475,500",0.0%,"-9,079,350 (-95.0%)","5,197,577,278",78,"-1,113 (-93.5%)","515,242",8,9
