지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2009-06-08,1,20090248,마더,2 상승,2009-05-28,"395,551,000",34.1%,"-818,541,000 (-67.4%)","15,071,567,500","62,393","-110,348 (-63.9%)","2,236,374",534,"2,789"
0105000,전체,2009-06-08,2,20090282,박물관이 살아있다 2,1 하락,2009-06-04,"279,906,500",24.1%,"-1,633,411,500 (-85.4%)","6,231,914,000","44,668","-258,406 (-85.3%)","987,001",482,"2,823"
0105000,전체,2009-06-08,3,20090238,터미네이터 : 미래전쟁의 시작,1 하락,2009-05-21,"270,370,000",23.3%,"-982,558,500 (-78.4%)","24,866,216,000","41,995","-144,993 (-77.5%)","3,767,033",460,"2,563"
0105000,전체,2009-06-08,4,20090234,천사와 악마,동일,2009-05-14,"79,373,500",6.8%,"-194,976,500 (-71.1%)","12,144,162,000","12,587","-28,283 (-69.2%)","1,845,711",254,969
0105000,전체,2009-06-08,5,20081737,7급 공무원,동일,2009-04-22,"65,550,500",5.7%,"-160,325,500 (-71.0%)","25,883,034,000","10,504","-23,579 (-69.2%)","3,956,068",244,978
0105000,전체,2009-06-08,6,20090225,인사동 스캔들,15 상승,2009-04-29,"10,689,000",0.9%,"9,743,500 (1,030.5%)","7,627,209,500","2,462","2,329 (1,751.1%)","1,150,902",9,24
0105000,전체,2009-06-08,7,20090237,김씨표류기,동일,2009-05-14,"14,495,500",1.2%,"-35,742,000 (-71.1%)","4,662,629,500","2,285","-5,194 (-69.4%)","710,555",133,297
0105000,전체,2009-06-08,8,20081003,박쥐,동일,2009-04-30,"8,105,000",0.7%,"-9,813,000 (-54.8%)","14,805,317,500","1,315","-1,267 (-49.1%)","2,200,693",67,142
0105000,전체,2009-06-08,9,20090284,코렐라인,3 하락,2009-05-21,"6,664,500",0.6%,"-78,740,000 (-92.2%)","1,377,656,000","1,028","-12,046 (-92.1%)","209,006",83,122
0105000,전체,2009-06-08,10,20090188,소명,1 상승,2009-04-02,"4,969,000",0.4%,"-1,164,500 (-19.0%)","318,926,000",935,70 (8.1%),"50,149",20,42
0105000,전체,2009-06-08,11,20090269,에코,2 하락,2009-05-28,"3,439,500",0.3%,"-10,339,500 (-75.0%)","290,223,000",535,"-1,582 (-74.7%)","44,886",45,105
0105000,전체,2009-06-08,12,20090235,스타 트렉: 더 비기닝,2 하락,2009-05-07,"3,405,500",0.3%,"-7,614,500 (-69.1%)","7,209,898,500",528,"-1,075 (-67.1%)","1,079,877",20,46
0105000,전체,2009-06-08,13,20090295,쉘 위 키스,New,2009-06-18,"3,150,000",0.3%,"3,150,000 (100.0%)","3,150,000",450,450 (100.0%),450,1,1
0105000,전체,2009-06-08,14,20090296,세라핀,1 하락,2009-06-04,"2,500,500",0.2%,"-1,663,500 (-39.9%)","16,417,000",373,-170 (-31.3%),"2,250",2,8
0105000,전체,2009-06-08,15,20090261,잘 알지도 못하면서,1 하락,2009-05-14,"2,191,000",0.2%,"-1,191,000 (-35.2%)","227,564,500",330,-161 (-32.8%),"32,966",13,25
0105000,전체,2009-06-08,16,20090289,보트,4 하락,2009-05-28,"1,488,500",0.1%,"-2,556,000 (-63.2%)","89,039,500",234,-353 (-60.1%),"13,099",31,49
0105000,전체,2009-06-08,17,20080400,물 좀 주소,동일,2009-06-04,"902,000",0.1%,"-1,040,000 (-53.6%)","7,293,000",156,-135 (-46.4%),"1,136",9,24
0105000,전체,2009-06-08,18,20090340,걸어도 걸어도,New,2009-06-18,"1,189,000",0.1%,"1,189,000 (100.0%)","1,189,000",150,150 (100.0%),150,1,1
0105000,전체,2009-06-08,19,20081458,로나의 침묵,동일,2009-06-04,"780,000",0.1%,"-800,000 (-50.6%)","8,639,000",116,-93 (-44.5%),"1,279",3,12
0105000,전체,2009-06-08,20,20090263,디트로이트 메탈 시티,동일,2009-05-21,"531,000",0.0%,"-939,000 (-63.9%)","45,590,000",76,-124 (-62.0%),"6,659",5,6
0105000,전체,2009-06-08,21,20080576,3xFTM,7 상승,2009-06-04,"367,500",0.0%,"-184,500 (-33.4%)","3,403,000",59,-26 (-30.6%),540,4,10
0105000,전체,2009-06-08,22,20081208,우주의 신비,New,2008-07-03,"628,000",0.1%,"628,000 (100.0%)","135,207,000",58,58 (100.0%),"10,999",1,2
0105000,전체,2009-06-08,23,20090300,홈,5 하락,2009-06-05,"242,000",0.0%,"-667,500 (-73.4%)","2,511,500",52,-158 (-75.2%),548,5,12
