지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2022-07-19,1,20194376,탑건: 매버릭,동일,2022-06-22,"1,041,221,737",42.6%,"63,287,407 (6.5%)","63,424,248,697","100,087","6,133 (6.5%)","5,927,853","1,406","5,517"
0105000,전체,2022-07-19,2,20224662,토르: 러브 앤 썬더,동일,2022-07-06,"407,603,700",16.7%,"-31,788,890 (-7.2%)","28,014,086,690","38,827","-3,484 (-8.2%)","2,574,958","1,124","4,106"
0105000,전체,2022-07-19,3,20209654,헤어질 결심,동일,2022-06-29,"384,741,950",15.7%,"11,284,710 (3.0%)","13,532,894,220","37,297","1,369 (3.8%)","1,320,364",864,"2,156"
0105000,전체,2022-07-19,4,20225237,명탐정 코난: 할로윈의 신부,동일,2022-07-13,"250,318,806",10.2%,"59,849,666 (31.4%)","2,695,669,866","24,580","6,089 (32.9%)","259,813",623,"1,463"
0105000,전체,2022-07-19,5,20225175,엘비스,1 상승,2022-07-13,"74,341,510",3.0%,"11,077,080 (17.5%)","732,983,700","7,197",971 (15.6%),"69,019",570,"1,075"
0105000,전체,2022-07-19,6,20204548,범죄도시2,1 하락,2022-05-18,"62,761,320",2.6%,"-2,599,000 (-4.0%)","131,072,957,130","6,233",-149 (-2.3%),"12,671,643",326,505
0105000,전체,2022-07-19,7,20225186,더 킬러: 죽어도 되는 아이,동일,2022-07-13,"41,868,800",1.7%,"-1,492,200 (-3.4%)","544,710,840","4,129",-92 (-2.2%),"52,744",298,495
0105000,전체,2022-07-19,8,20225180,뒤틀린 집,1 상승,2022-07-13,"29,221,300",1.2%,"9,001,500 (44.5%)","287,953,800","3,651","1,399 (62.1%)","30,207",140,236
0105000,전체,2022-07-19,9,20224791,그레이 맨,1 상승,2022-07-13,"27,433,260",1.1%,"6,340,760 (30.1%)","205,281,060","3,168","1,075 (51.4%)","21,278",206,354
0105000,전체,2022-07-19,10,20209343,한산: 용의 출현,New,2022-07-27,"27,502,000",1.1%,"27,502,000 (100.0%)","27,502,000","2,632","2,632 (100.0%)","2,632",10,20
0105000,전체,2022-07-19,11,20224882,마녀(魔女) Part2. The Other One,동일,2022-06-15,"14,381,700",0.6%,"1,792,700 (14.2%)","28,895,141,470","1,472",210 (16.6%),"2,802,433",131,168
0105000,전체,2022-07-19,12,20208446,외계+인 1부,4 하락,2022-07-20,"14,577,000",0.6%,"-21,930,000 (-60.1%)","75,695,000","1,065","-2,630 (-71.2%)","7,427",3,3
0105000,전체,2022-07-19,13,20225238,체리마호: 30살까지 동정이면 마법사가 될 수 있대,1 상승,2022-07-13,"6,416,600",0.3%,"739,100 (13.0%)","86,495,900",605,85 (16.3%),"7,750",53,93
0105000,전체,2022-07-19,14,20217688,광대: 소리꾼,New,2022-02-24,"4,067,000",0.2%,"4,067,000 (100.0%)","142,913,170",581,581 (100.0%),"18,387",2,2
0105000,전체,2022-07-19,15,20210542,로스트 도터,3 하락,2022-07-14,"5,383,400",0.2%,"199,400 (3.8%)","55,614,300",562,-16 (-2.8%),"5,874",57,83
0105000,전체,2022-07-19,16,20224713,멘,동일,2022-07-13,"5,615,400",0.2%,"1,346,400 (31.5%)","68,652,660",561,158 (39.2%),"6,865",81,104
0105000,전체,2022-07-19,17,20206257,브로커,동일,2022-06-08,"3,465,700",0.1%,"292,000 (9.2%)","12,570,424,230",553,159 (40.4%),"1,259,020",25,25
0105000,전체,2022-07-19,18,20211321,빅샤크4: 바다공룡 대모험,5 하락,2022-07-06,"3,556,000",0.1%,"-262,000 (-6.9%)","528,316,680",521,-13 (-2.4%),"59,370",53,56
0105000,전체,2022-07-19,19,19978805,큐어,4 하락,2022-07-06,"5,261,000",0.2%,"591,200 (12.7%)","192,882,900",520,76 (17.1%),"18,233",38,50
0105000,전체,2022-07-19,20,20205362,미니언즈2,4 하락,2022-07-20,"3,846,000",0.2%,"-6,382,000 (-62.4%)","16,432,000",422,-206 (-32.8%),"1,312",2,2
0105000,전체,2022-07-19,21,20225637,뿌까의 짜장면파티,4 상승,2022-07-04,"2,244,000",0.1%,"1,566,000 (231.0%)","28,335,000",374,261 (231.0%),"4,697",10,10
0105000,전체,2022-07-19,22,20223839,버즈 라이트이어,3 하락,2022-06-15,"2,062,000",0.1%,"417,000 (25.3%)","3,508,303,460",315,69 (28.0%),"344,214",6,6
