지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2018-04-26,1,20177478,어벤져스: 인피니티 워,동일,2018-04-25,"5,195,838,900",94.3%,"-1,733,432,200 (-25.0%)","12,134,470,000","595,668","-384,374 (-39.2%)","1,576,334","2,394","11,628"
0105000,전체,2018-04-26,2,20182352,"그날, 바다",동일,2018-04-12,"61,046,100",1.1%,"-9,132,100 (-13.0%)","3,614,430,900","7,832","-3,448 (-30.6%)","438,102",391,696
0105000,전체,2018-04-26,3,20167007,살인소설,1 상승,2018-04-25,"40,861,400",0.7%,"-8,922,600 (-17.9%)","110,997,400","5,260","-2,567 (-32.8%)","15,631",434,863
0105000,전체,2018-04-26,4,20176917,램페이지,1 상승,2018-04-12,"35,383,700",0.6%,"-8,870,400 (-20.0%)","11,655,469,227","4,402","-2,861 (-39.4%)","1,349,578",344,588
0105000,전체,2018-04-26,5,20181788,콰이어트 플레이스,1 상승,2018-04-12,"21,979,600",0.4%,"2,970,000 (15.6%)","4,273,175,927","2,639",-230 (-8.0%),"490,995",151,215
0105000,전체,2018-04-26,6,20182561,당갈,3 하락,2018-04-25,"17,026,100",0.3%,"-48,064,400 (-73.8%)","233,592,600","2,235","-5,741 (-72.0%)","28,254",250,443
0105000,전체,2018-04-26,7,20153447,바람 바람 바람,동일,2018-04-05,"10,313,500",0.2%,"-2,399,900 (-18.9%)","9,737,219,175","1,354",-669 (-33.1%),"1,188,334",79,125
0105000,전체,2018-04-26,8,20177005,레슬러,New,2018-05-09,"10,080,000",0.2%,"10,080,000 (100.0%)","20,484,000","1,260","1,260 (100.0%)","2,626",6,6
0105000,전체,2018-04-26,9,19990050,박하사탕,New,2000-01-01,"8,052,000",0.1%,"8,052,000 (100.0%)","20,278,500",884,884 (100.0%),"2,218",33,78
0105000,전체,2018-04-26,10,20183195,레오나르도 다 빈치,New,2018-04-26,"6,933,300",0.1%,"6,933,300 (100.0%)","13,193,300",869,869 (100.0%),"1,613",64,66
0105000,전체,2018-04-26,11,20181561,덕구,1 하락,2018-04-05,"5,333,200",0.1%,"-1,843,300 (-25.7%)","2,303,603,000",832,-365 (-30.5%),"302,396",42,62
0105000,전체,2018-04-26,12,20171122,레디 플레이어 원,동일,2018-03-28,"6,503,100",0.1%,"1,096,900 (20.3%)","19,835,631,171",808,6 (0.7%),"2,244,057",37,50
0105000,전체,2018-04-26,13,20182989,커다랗고 커다랗고 커다란 배,25 상승,2018-05-03,"6,304,000",0.1%,"5,504,000 (688.0%)","7,904,000",788,688 (688.0%),988,4,4
0105000,전체,2018-04-26,14,20177266,나를 기억해,6 하락,2018-04-19,"5,617,600",0.1%,"-5,263,900 (-48.4%)","1,187,725,345",720,-824 (-53.4%),"135,644",95,127
0105000,전체,2018-04-26,15,20182984,얼리맨,New,2018-05-03,"6,253,000",0.1%,"6,253,000 (100.0%)","27,849,000",717,717 (100.0%),"3,553",5,5
