지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2015-05-30,1,20144741,매드 맥스: 분노의 도로,동일,2015-05-14,"2,173,365,099",31.0%,"1,250,857,601 (135.6%)","23,701,631,623","254,793","146,968 (136.3%)","2,722,979",664,"3,015"
0105000,전체,2015-05-30,2,20158621,스파이,동일,2015-05-21,"1,611,773,401",23.0%,"964,109,899 (148.9%)","10,869,976,880","198,222","117,286 (144.9%)","1,372,769",584,"2,544"
0105000,전체,2015-05-30,3,20149569,악의 연대기,2 상승,2015-05-14,"617,676,729",8.8%,"346,460,489 (127.7%)","15,655,168,232","77,015","42,654 (124.1%)","1,974,654",443,"1,582"
0105000,전체,2015-05-30,4,20159748,투모로우랜드,2 상승,2015-05-27,"606,398,200",8.7%,"363,008,200 (149.1%)","1,175,333,200","74,551","44,735 (150.0%)","150,041",422,"1,831"
0105000,전체,2015-05-30,5,20130566,무뢰한,2 하락,2015-05-27,"620,285,071",8.9%,"278,686,011 (81.6%)","1,634,495,931","74,544","32,595 (77.7%)","210,807",452,"2,099"
0105000,전체,2015-05-30,6,20142402,간신,2 하락,2015-05-21,"549,638,900",7.8%,"242,266,100 (78.8%)","6,702,184,110","65,359","27,695 (73.5%)","829,095",455,"1,413"
0105000,전체,2015-05-30,7,20140145,홈,4 상승,2015-05-21,"297,946,500",4.3%,"279,443,200 (1,510.2%)","2,177,850,691","40,071","37,437 (1,421.3%)","292,388",378,784
0105000,전체,2015-05-30,8,20148493,어벤져스: 에이지 오브 울트론,동일,2015-04-23,"185,259,400",2.6%,"128,785,500 (228.0%)","88,212,896,966","23,346","16,339 (233.2%)","10,447,568",247,472
0105000,전체,2015-05-30,9,20159141,피치 퍼펙트: 언프리티 걸즈,2 하락,2015-05-28,"144,406,299",2.1%,"62,771,401 (76.9%)","327,451,397","18,262","8,001 (78.0%)","41,354",297,698
0105000,전체,2015-05-30,10,20159655,사이코패스,1 하락,2015-05-28,"42,989,500",0.6%,"14,221,500 (49.4%)","96,710,000","5,386","2,062 (62.0%)","11,801",69,132
0105000,전체,2015-05-30,11,20159442,차일드 44,1 하락,2015-05-28,"30,551,271",0.4%,"8,419,811 (38.0%)","80,740,231","3,820","1,022 (36.5%)","10,328",138,255
0105000,전체,2015-05-30,12,20158981,하나와 앨리스: 살인사건,1 상승,2015-05-27,"18,652,900",0.3%,"10,094,800 (118.0%)","47,814,000","2,303","1,258 (120.4%)","6,214",67,135
0105000,전체,2015-05-30,13,20159101,써드 퍼슨 - 감독판,1 하락,2015-05-28,"13,617,500",0.2%,"3,087,000 (29.3%)","45,135,900","1,623",368 (29.3%),"5,646",89,161
0105000,전체,2015-05-30,14,20158670,위아영,2 상승,2015-05-14,"9,131,500",0.1%,"3,852,427 (73.0%)","448,692,160","1,063",409 (62.5%),"56,164",27,47
0105000,전체,2015-05-30,15,20145042,스틸 앨리스,2 상승,2015-04-29,"8,684,400",0.1%,"3,441,400 (65.6%)","832,187,546","1,027",388 (60.7%),"107,929",33,52
0105000,전체,2015-05-30,16,20157223,해피 홀리데이,40 상승,2015-05-14,"7,553,500",0.1%,"7,492,500 (12,282.8%)","102,959,800",990,"982 (12,275.0%)","13,577",7,8
0105000,전체,2015-05-30,17,20144682,샌 안드레아스,3 하락,2015-06-03,"9,280,000",0.1%,"-530,000 (-5.4%)","22,024,000",928,-53 (-5.4%),"2,235",7,7
0105000,전체,2015-05-30,18,19598009,존 웨인의 기병대,동일,,"1,622,000",0.0%,"481,000 (42.2%)","4,711,000",811,243 (42.8%),"2,102",1,4
0105000,전체,2015-05-30,19,20149062,연애의 맛,57 상승,2015-05-07,"5,925,000",0.1%,"5,861,000 (9,157.8%)","1,719,802,653",790,"781 (8,677.8%)","213,714",5,5
0105000,전체,2015-05-30,20,20159506,적도,1 하락,2015-05-28,"4,775,500",0.1%,"1,845,500 (63.0%)","18,379,000",645,260 (67.5%),"2,512",71,98
0105000,전체,2015-05-30,21,20141962,이미테이션 게임,6 하락,2015-02-17,"2,985,000",0.0%,"-1,255,000 (-29.6%)","13,651,943,120",597,-251 (-29.6%),"1,743,181",2,2
0105000,전체,2015-05-30,22,20071066,말할 수 없는 비밀,2 상승,2008-01-10,"4,326,500",0.1%,"2,542,000 (142.4%)","1,091,974,900",485,280 (136.6%),"155,004",9,15
0105000,전체,2015-05-30,23,20150104,호야와 토리: 드래곤 숲의 비밀,New,2015-06-04,"3,408,000",0.0%,"3,408,000 (100.0%)","3,408,000",426,426 (100.0%),426,2,2
0105000,전체,2015-05-30,24,20100211,다이노 타임,22 상승,2015-04-30,"2,122,500",0.0%,"1,939,500 (1,059.8%)","2,094,088,600",282,251 (809.7%),"282,491",10,15
0105000,전체,2015-05-30,25,20158518,리틀 포레스트 2: 겨울과 봄,2 상승,2015-05-14,"2,095,000",0.0%,"1,052,500 (101.0%)","60,084,600",278,121 (77.1%),"7,803",9,12
0105000,전체,2015-05-30,26,20157782,신은 죽지 않았다,3 하락,2015-04-16,"1,779,200",0.0%,"374,000 (26.6%)","254,185,700",240,28 (13.2%),"34,399",9,12
0105000,전체,2015-05-30,27,20155927,와일드 테일즈: 참을 수 없는 순간,6 상승,2015-05-21,"1,907,600",0.0%,"1,107,600 (138.5%)","27,499,500",236,135 (133.7%),"3,346",9,12
0105000,전체,2015-05-30,28,20158428,빌리와 용감한 녀석들 3,8 하락,2015-04-30,"1,485,000",0.0%,"144,000 (10.7%)","691,598,600",198,-70 (-26.1%),"97,403",1,1
0105000,전체,2015-05-30,29,20140703,장수상회,1 상승,2015-04-09,"1,211,500",0.0%,"506,000 (71.7%)","8,720,092,643",196,90 (84.9%),"1,161,738",10,10
0105000,전체,2015-05-30,30,20158703,트래쉬,11 상승,2015-05-14,"1,421,000",0.0%,"1,043,000 (275.9%)","177,171,413",194,142 (273.1%),"24,594",7,8
0105000,전체,2015-05-30,31,20158069,노아의 방주: 남겨진 녀석들,50 상승,2015-04-30,"1,267,000",0.0%,"1,255,000 (10,458.3%)","1,586,231,300",181,"179 (8,950.0%)","219,594",3,3
0105000,전체,2015-05-30,32,20156101,비비안 마이어를 찾아서,8 상승,2015-04-30,"1,501,900",0.0%,"1,072,400 (249.7%)","140,608,500",175,122 (230.2%),"17,560",7,7
0105000,전체,2015-05-30,33,20110162,바보야,1 상승,2011-04-21,"316,000",0.0%,"132,000 (71.7%)","93,437,000",158,66 (71.7%),"17,789",1,4
0105000,전체,2015-05-30,34,20159206,파리오페라발레 갈라쇼,22 상승,2015-05-02,"2,863,500",0.0%,"2,670,500 (1,383.7%)","23,067,500",155,"147 (1,837.5%)","1,239",12,12
0105000,전체,2015-05-30,35,20112222,소중한 사람,6 하락,2011-09-21,"265,000",0.0%,"36,000 (15.7%)","27,446,000",133,18 (15.7%),"6,797",1,4
0105000,전체,2015-05-30,36,20008343,그날이 오면,1 상승,,"259,000",0.0%,"131,000 (102.3%)","5,484,000",127,63 (98.4%),"2,626",1,3
0105000,전체,2015-05-30,37,20101381,자이언트,13 상승,1974-02-28,"386,000",0.0%,"329,000 (577.2%)","6,939,712",126,107 (563.2%),"5,037",1,3
0105000,전체,2015-05-30,38,20148982,반짝이는 박수 소리,10 하락,2015-04-23,"618,000",0.0%,"-3,000 (-0.5%)","25,843,100",121,1 (0.8%),"4,081",5,6
0105000,전체,2015-05-30,39,20158061,윈터 슬립,7 하락,2015-05-07,"957,000",0.0%,"193,000 (25.3%)","47,655,800",120,16 (15.4%),"6,103",4,4
0105000,전체,2015-05-30,40,20080975,원스 어폰 어 타임 인 아메리카,22 상승,1984-12-10,"1,167,000",0.0%,"937,000 (407.4%)","255,787,600",117,76 (185.4%),"19,541",3,4
0105000,전체,2015-05-30,41,20158042,커밍 홈,3 상승,2015-05-28,"581,500",0.0%,"305,500 (110.7%)","1,177,500",88,45 (104.7%),186,9,12
0105000,전체,2015-05-30,42,20148676,잡식가족의 딜레마,16 하락,2015-05-07,"594,000",0.0%,"-437,000 (-42.4%)","37,795,300",87,-92 (-51.4%),"5,433",6,8
0105000,전체,2015-05-30,43,20148449,산다,12 하락,2015-05-21,"680,000",0.0%,"-89,000 (-11.6%)","26,613,200",81,-24 (-22.9%),"3,579",21,27
0105000,전체,2015-05-30,44,19770092,대부,New,1973-09-01,"694,000",0.0%,"694,000 (100.0%)","170,171,100",78,78 (100.0%),"26,361",1,1
0105000,전체,2015-05-30,45,20159866,사랑의 보금자리 & 셜록 주니어,New,,"314,000",0.0%,"314,000 (100.0%)","464,000",62,62 (100.0%),90,1,1
0105000,전체,2015-05-30,46,20140098,마술피리,15 상승,2014-08-02,"1,242,000",0.0%,"780,000 (168.8%)","58,894,500",59,42 (247.1%),"3,564",3,3
0105000,전체,2015-05-30,47,20145203,리틀 포레스트: 여름과 가을,26 상승,2015-02-12,"354,000",0.0%,"346,000 (4,325.0%)","70,741,200",56,"55 (5,500.0%)","9,260",3,4
0105000,전체,2015-05-30,48,20149266,차이나타운,12 하락,2015-04-29,"419,500",0.0%,"-84,511 (-16.8%)","11,984,302,678",55,-10 (-15.4%),"1,471,372",2,3
0105000,전체,2015-05-30,49,20150481,7공주 대리운전,10 하락,2015-05-28,"270,000",0.0%,0 (0.0%),"3,498,000",54,0 (0.0%),732,1,1
0105000,전체,2015-05-30,50,20145141,위플래쉬,1 상승,2015-03-12,"405,000",0.0%,"281,000 (226.6%)","12,634,372,645",46,28 (155.6%),"1,586,254",3,4
0105000,전체,2015-05-30,51,20143922,결혼하지 않아도 괜찮을까,6 하락,2015-04-09,"378,000",0.0%,"110,000 (41.0%)","94,500,500",42,7 (20.0%),"11,551",1,2
0105000,전체,2015-05-30,52,20125648,코인라커,9 하락,2015-05-28,"330,000",0.0%,"-38,000 (-10.3%)","4,471,000",38,-6 (-13.6%),656,10,13
0105000,전체,2015-05-30,53,20157431,명량: 회오리 바다를 향하여,11 하락,2015-05-07,"196,000",0.0%,"-35,000 (-15.2%)","63,236,500",36,-9 (-20.0%),"8,723",4,4
0105000,전체,2015-05-30,53,20158461,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,1 하락,2015-04-23,"255,000",0.0%,"194,000 (318.0%)","1,084,647,600",36,21 (140.0%),"150,119",1,3
0105000,전체,2015-05-30,55,20159881,일주일 & 피고 13 & 허수아비,New,,"140,000",0.0%,"140,000 (100.0%)","240,000",31,31 (100.0%),52,1,1
0105000,전체,2015-05-30,55,19970014,접속,4 상승,1997-09-13,"283,000",0.0%,"100,000 (54.6%)","2,833,000",31,8 (34.8%),360,1,1
0105000,전체,2015-05-30,57,20145169,카르멘,11 상승,2015-04-11,"687,000",0.0%,"421,500 (158.8%)","33,508,000",26,15 (136.4%),"1,332",2,2
0105000,전체,2015-05-30,58,20159902,붓다 : 위대한 여정,5 하락,2015-05-28,"181,000",0.0%,"97,000 (115.5%)","348,000",25,14 (127.3%),48,7,7
0105000,전체,2015-05-30,59,20142182,빌리 엘리어트 뮤지컬 라이브,12 상승,2014-11-27,"474,000",0.0%,"336,000 (243.5%)","395,284,000",24,17 (242.9%),"21,571",1,1
0105000,전체,2015-05-30,59,20157587,파울볼,New,2015-04-02,"144,000",0.0%,"144,000 (100.0%)","235,292,500",24,24 (100.0%),"31,137",1,1
0105000,전체,2015-05-30,61,20149259,막걸스,2 상승,2015-05-21,"169,000",0.0%,"148,000 (704.8%)","14,195,500",21,18 (600.0%),"1,903",4,5
0105000,전체,2015-05-30,61,20156963,아리아,5 하락,2015-04-23,"163,000",0.0%,"105,000 (181.0%)","33,798,579",21,13 (162.5%),"4,285",2,2
0105000,전체,2015-05-30,63,20143726,명령불복종 교사,2 하락,2015-05-14,"107,000",0.0%,"64,000 (148.8%)","8,544,200",14,8 (133.3%),"1,334",3,3
0105000,전체,2015-05-30,64,20144801,버드맨,5 하락,2015-03-05,"102,000",0.0%,"52,000 (104.0%)","1,664,042,000",12,5 (71.4%),"206,166",1,1
0105000,전체,2015-05-30,64,20147261,토스카,3 하락,2014-03-15,"166,000",0.0%,"-53,000 (-24.2%)","28,914,500",12,-5 (-29.4%),"1,505",1,1
0105000,전체,2015-05-30,64,20157624,더 딥 블루 씨,New,2015-04-23,"84,000",0.0%,"84,000 (100.0%)","53,600,961",12,12 (100.0%),"6,956",1,1
0105000,전체,2015-05-30,67,20149097,라오스,15 상승,,"66,000",0.0%,"26,000 (65.0%)","559,000",9,4 (80.0%),90,1,1
0105000,전체,2015-05-30,68,20123681,뽀로로 극장판 슈퍼썰매 대모험,13 상승,2013-01-23,"48,000",0.0%,"36,000 (300.0%)","6,827,159,500",8,6 (300.0%),"931,429",1,1
0105000,전체,2015-05-30,68,19990053,해피엔드,New,1999-12-11,"73,000",0.0%,"73,000 (100.0%)","1,323,000",8,8 (100.0%),172,1,1
0105000,전체,2015-05-30,70,20159877,하이 사인 & 제물 & 극장,New,,"34,000",0.0%,"34,000 (100.0%)","142,000",7,7 (100.0%),29,1,1
0105000,전체,2015-05-30,70,20158004,아빠랑 나랑,New,,"7,000",0.0%,"7,000 (100.0%)","12,000",7,7 (100.0%),12,1,1
0105000,전체,2015-05-30,70,20156967,투 라이프,4 하락,2015-05-07,"45,000",0.0%,"35,000 (350.0%)","18,142,000",7,5 (250.0%),"2,729",1,1
0105000,전체,2015-05-30,70,20142282,리바이어던,26 하락,2015-03-19,"56,000",0.0%,"-294,000 (-84.0%)","80,664,000",7,-93 (-93.0%),"10,305",1,1
0105000,전체,2015-05-30,74,20156321,약장수,39 하락,2015-04-23,"23,000",0.0%,"-441,000 (-95.0%)","311,714,400",5,-73 (-93.6%),"43,075",1,1
0105000,전체,2015-05-30,75,20157021,"땡큐, 대디",23 하락,2015-04-23,"28,000",0.0%,"-212,000 (-88.3%)","236,928,561",4,-36 (-90.0%),"33,066",2,2
0105000,전체,2015-05-30,76,20143512,위험한 상견례 2,10 하락,2015-04-29,"21,000",0.0%,"6,000 (40.0%)","3,573,856,754",3,1 (50.0%),"472,475",3,3
0105000,전체,2015-05-30,76,20149499,긴 밤,15 하락,,"22,000",0.0%,"-20,000 (-47.6%)","72,000",3,-3 (-50.0%),10,1,1
0105000,전체,2015-05-30,78,20144461,인서전트,18 상승,2015-03-25,"20,000",0.0%,"20,000 (100.0%)","2,158,420,889",2,2 (100.0%),"282,659",1,1
0105000,전체,2015-05-30,78,20140246,질투,2 하락,2015-04-09,"14,000",0.0%,"-18,000 (-56.3%)","19,968,000",2,-2 (-50.0%),"2,673",1,1
0105000,전체,2015-05-30,80,20159421,러브 이즈 크라임,New,2015-05-30,"7,000",0.0%,"7,000 (100.0%)","7,000",1,1 (100.0%),1,1,1
0105000,전체,2015-05-30,80,19800085,사제출마,7 하락,1980-05-03,"10,000",0.0%,"5,000 (100.0%)","20,000",1,0 (0.0%),3,1,1
0105000,전체,2015-05-30,80,20148007,카토 프로젝트,7 하락,2014-04-17,"2,000",0.0%,0 (0.0%),"2,178,000",1,0 (0.0%),765,1,1
