지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2018-01-25,1,20176104,그것만이 내 세상,동일,2018-01-17,"756,427,000",25.8%,"44,864,100 (6.3%)","10,506,076,290","98,162","5,490 (5.9%)","1,305,082",791,"3,115"
0105000,전체,2018-01-25,2,20179985,코코,1 상승,2018-01-11,"478,703,400",16.4%,"23,451,200 (5.2%)","16,360,113,733","65,984","3,389 (5.4%)","2,072,884",751,"2,139"
0105000,전체,2018-01-25,3,20175054,메이즈 러너: 데스 큐어,1 하락,2018-01-17,"483,345,600",16.5%,"-61,951,600 (-11.4%)","13,133,930,063","61,865","-8,195 (-11.7%)","1,592,504",728,"2,761"
0105000,전체,2018-01-25,4,20150976,신과함께-죄와 벌,동일,2017-12-20,"274,296,900",9.4%,"-15,530,000 (-5.4%)","110,104,938,037","36,900","-2,338 (-6.0%)","13,718,015",553,"1,473"
0105000,전체,2018-01-25,5,20170590,1987,동일,2017-12-27,"249,946,400",8.5%,"-22,241,900 (-8.2%)","55,027,396,145","33,264","-2,593 (-7.2%)","6,839,128",562,"1,706"
0105000,전체,2018-01-25,6,20178230,커뮤터,동일,2018-01-24,"248,825,700",8.5%,"-16,341,100 (-6.2%)","547,722,600","32,942","-2,064 (-5.9%)","72,618",543,"2,389"
0105000,전체,2018-01-25,7,20168161,1급기밀,동일,2018-01-24,"164,758,500",5.6%,"-16,922,300 (-9.3%)","419,172,800","21,911","-2,348 (-9.7%)","55,209",461,"1,465"
0105000,전체,2018-01-25,8,20177473,비밥바룰라,동일,2018-01-24,"38,644,300",1.3%,"-26,327,800 (-40.5%)","120,502,400","6,087","-2,835 (-31.8%)","16,985",347,648
0105000,전체,2018-01-25,9,20178444,극장판 레이디버그: 미라클스톤의 비밀,18 상승,2018-01-25,"25,749,500",0.9%,"23,896,500 (1,289.6%)","38,636,500","3,801","3,594 (1,736.2%)","5,301",273,319
0105000,전체,2018-01-25,10,20179462,위대한 쇼맨,1 하락,2017-12-20,"29,050,600",1.0%,"-3,168,000 (-9.8%)","10,651,240,800","3,722",-409 (-9.9%),"1,300,030",104,141
0105000,전체,2018-01-25,11,20178582,쿵푸몽키,60 상승,2018-01-25,"23,406,700",0.8%,"23,293,700 (20,613.9%)","29,027,700","3,560","3,545 (23,633.3%)","4,242",156,167
0105000,전체,2018-01-25,12,20176947,원더,2 하락,2017-12-27,"14,541,800",0.5%,"-1,488,100 (-9.3%)","1,670,266,945","2,188",-206 (-8.6%),"214,845",52,95
0105000,전체,2018-01-25,13,20168323,염력,New,2018-01-31,"16,266,000",0.6%,"16,266,000 (100.0%)","32,292,000","1,852","1,852 (100.0%)","3,715",8,8
0105000,전체,2018-01-25,14,20176603,원더 휠,New,2018-01-25,"13,294,000",0.5%,"13,294,000 (100.0%)","27,567,500","1,800","1,800 (100.0%)","3,552",140,251
0105000,전체,2018-01-25,15,20177750,레더페이스,동일,2018-01-25,"5,211,900",0.2%,"2,740,900 (110.9%)","8,816,900","1,574",580 (58.4%),"2,694",37,48
0105000,전체,2018-01-25,16,20167041,킹 오브 프리즘 (바이 프리티 리듬),New,2016-08-11,"10,654,000",0.4%,"10,654,000 (100.0%)","920,032,000","1,440","1,440 (100.0%)","110,614",50,79
0105000,전체,2018-01-25,17,20178808,주문은 토끼입니까?? ~디어 마이 시스터~,6 상승,2018-01-18,"8,795,500",0.3%,"6,923,500 (369.8%)","104,545,500","1,296","1,030 (387.2%)","14,159",49,56
0105000,전체,2018-01-25,18,20171909,쥬만지: 새로운 세계,7 하락,2018-01-03,"9,181,600",0.3%,"-4,948,900 (-35.0%)","13,771,222,364","1,211",-700 (-36.6%),"1,702,823",47,66
0105000,전체,2018-01-25,19,20161681,미옥,New,2017-11-09,"8,800,000",0.3%,"8,800,000 (100.0%)","1,906,505,564","1,100","1,100 (100.0%)","239,687",11,11
0105000,전체,2018-01-25,20,20189525,젝스키스 에이틴,7 하락,2018-01-18,"7,131,500",0.2%,"-663,600 (-8.5%)","205,007,000","1,072",-60 (-5.3%),"27,251",19,28
0105000,전체,2018-01-25,21,20177104,페르디난드,9 하락,2018-01-03,"5,929,000",0.2%,"-3,379,500 (-36.3%)","3,817,627,300","1,009",-585 (-36.7%),"528,319",23,29
0105000,전체,2018-01-25,22,20179286,하이큐!! 콘셉트의 싸움,8 상승,2018-01-11,"6,171,000",0.2%,"4,834,000 (361.6%)","117,519,000",891,705 (379.0%),"16,120",25,32
0105000,전체,2018-01-25,23,20177963,그녀는 거짓말을 너무 사랑해,4 하락,2018-01-24,"3,968,300",0.1%,"-1,054,400 (-21.0%)","14,236,000",529,-144 (-21.4%),"1,841",90,125
0105000,전체,2018-01-25,24,20178395,12 솔져스,5 상승,2018-01-31,"4,080,000",0.1%,"2,480,000 (155.0%)","5,680,000",510,310 (155.0%),710,3,3
0105000,전체,2018-01-25,25,20169443,공동정범,8 상승,2018-01-25,"2,868,000",0.1%,"1,504,000 (110.3%)","14,665,000",368,216 (142.1%),"2,164",73,107
0105000,전체,2018-01-25,26,20177351,맨헌트,9 하락,2018-01-25,"2,530,500",0.1%,"-3,136,500 (-55.3%)","12,695,500",356,-353 (-49.8%),"1,747",55,77
0105000,전체,2018-01-25,27,20178228,다키스트 아워,11 하락,2018-01-17,"2,577,500",0.1%,"-2,720,800 (-51.4%)","126,234,400",339,-371 (-52.3%),"16,765",34,38
0105000,전체,2018-01-25,28,20166083,천화,New,2018-01-25,"2,735,000",0.1%,"2,735,000 (100.0%)","7,213,000",332,332 (100.0%),919,11,17
0105000,전체,2018-01-25,29,20173662,리틀 뱀파이어,15 하락,2018-01-18,"1,838,000",0.1%,"-4,693,500 (-71.9%)","156,839,600",329,-690 (-67.7%),"21,903",10,10
0105000,전체,2018-01-25,30,20176049,패터슨,9 하락,2017-12-21,"2,344,500",0.1%,"-731,500 (-23.8%)","450,932,200",307,-108 (-26.0%),"55,078",18,21
0105000,전체,2018-01-25,31,20174846,뽀로로 극장판 공룡섬 대모험,1 상승,2017-12-07,"1,472,000",0.1%,"610,000 (70.8%)","6,208,514,800",298,128 (75.3%),"823,977",5,6
0105000,전체,2018-01-25,32,20175930,피의 연대기,4 하락,2018-01-18,"2,045,700",0.1%,"438,200 (27.3%)","25,101,200",263,57 (27.7%),"3,155",24,33
0105000,전체,2018-01-25,33,20178490,온리 더 브레이브,New,2018-03-07,"1,680,000",0.1%,"1,680,000 (100.0%)","3,792,000",210,210 (100.0%),474,1,1
0105000,전체,2018-01-25,34,20179942,러빙 빈센트,12 하락,2017-11-09,"1,537,000",0.1%,"-1,090,000 (-41.5%)","3,196,111,961",203,-124 (-37.9%),"400,960",9,13
0105000,전체,2018-01-25,35,20129836,리차드 3세,9 하락,,"404,000",0.0%,"-38,000 (-8.6%)","5,097,000",202,-19 (-8.6%),"2,165",1,4
0105000,전체,2018-01-25,36,20178126,인시디어스4: 라스트 키,New,2018-01-31,"1,790,000",0.1%,"1,790,000 (100.0%)","3,214,000",200,200 (100.0%),378,1,1
0105000,전체,2018-01-25,37,20167155,브라바도스,New,,"384,000",0.0%,"384,000 (100.0%)","5,875,000",192,192 (100.0%),"2,945",1,4
0105000,전체,2018-01-25,38,20175742,성숙의 20세,New,,"284,000",0.0%,"284,000 (100.0%)","314,000",142,142 (100.0%),157,1,4
0105000,전체,2018-01-25,39,20156759,탠저린,New,2018-01-25,"1,056,500",0.0%,"1,056,500 (100.0%)","9,525,000",141,141 (100.0%),"1,217",13,16
0105000,전체,2018-01-25,40,20178887,식스 빌로우,New,2018-01-25,"1,008,000",0.0%,"1,008,000 (100.0%)","6,262,000",134,134 (100.0%),779,16,22
0105000,전체,2018-01-25,41,20174323,B급 며느리,17 하락,2018-01-17,"981,500",0.0%,"-782,000 (-44.3%)","39,080,000",132,-104 (-44.1%),"5,083",16,22
