지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2011-03-11,1,20119707,월드 인베이젼,동일,2011-03-10,"597,892,000",35.1%,"112,109,000 (23.1%)","1,083,675,000","76,629","10,078 (15.1%)","143,180",416,"2,182"
0105000,전체,2011-03-11,2,20119577,블랙 스완,동일,2011-02-24,"324,297,000",19.0%,"93,286,500 (40.4%)","8,406,128,000","41,692","9,418 (29.2%)","1,094,170",277,"1,499"
0105000,전체,2011-03-11,3,20119511,사랑이 무서워,1 상승,2011-03-10,"188,445,500",11.1%,"54,348,500 (40.5%)","418,253,000","25,415","6,965 (37.8%)","58,094",279,"1,618"
0105000,전체,2011-03-11,4,20119337,그대를 사랑합니다,1 하락,2011-02-17,"180,832,000",10.6%,"46,321,500 (34.4%)","5,396,479,500","24,513","5,092 (26.2%)","733,295",241,925
0105000,전체,2011-03-11,5,2009A362,파이터,동일,2011-03-10,"106,755,500",6.3%,"31,889,000 (42.6%)","181,966,000","13,981","3,538 (33.9%)","24,467",252,"1,367"
0105000,전체,2011-03-11,6,20119430,컨트롤러,동일,2011-03-03,"67,718,500",4.0%,"13,514,500 (24.9%)","2,466,205,500","8,616","1,260 (17.1%)","321,589",252,900
0105000,전체,2011-03-11,7,20119341,아이들...,동일,2011-02-17,"47,595,500",2.8%,"11,260,000 (31.0%)","13,160,615,000","6,676","1,277 (23.7%)","1,809,016",223,640
0105000,전체,2011-03-11,8,20119630,랭고,동일,2011-03-03,"49,607,000",2.9%,"17,266,000 (53.4%)","1,638,520,500","6,545","1,911 (41.2%)","224,641",213,633
0105000,전체,2011-03-11,9,20102414,조선명탐정 : 각시투구꽃의 비밀,동일,2011-01-27,"37,136,000",2.2%,"9,620,500 (35.0%)","35,519,810,500","5,085","1,169 (29.9%)","4,742,594",138,391
0105000,전체,2011-03-11,10,20119420,아이 엠 넘버 포,동일,2011-02-24,"29,958,000",1.8%,"9,929,500 (49.6%)","4,742,735,000","3,952","1,188 (43.0%)","625,672",159,470
0105000,전체,2011-03-11,11,20119507,"사랑한다, 사랑하지 않는다",동일,2011-03-03,"15,746,500",0.9%,"4,758,500 (43.3%)","415,629,000","2,011",493 (32.5%),"54,430",71,184
0105000,전체,2011-03-11,12,20119767,나비효과: 레버레이션,2 상승,2011-03-10,"8,666,000",0.5%,"2,293,500 (36.0%)","15,038,500","1,090",234 (27.3%),"1,946",28,142
0105000,전체,2011-03-11,13,20119617,타이머,동일,2011-03-10,"8,532,000",0.5%,"1,313,000 (18.2%)","28,820,000","1,076",21 (2.0%),"3,831",37,176
0105000,전체,2011-03-11,14,20119429,언노운,2 상승,2011-02-17,"7,680,000",0.5%,"2,839,500 (58.7%)","3,910,723,000",940,289 (44.4%),"517,441",30,84
0105000,전체,2011-03-11,15,20101395,라푼젤,3 상승,2011-02-10,"7,953,500",0.5%,"1,493,500 (23.1%)","9,905,012,800",658,49 (8.0%),"986,876",24,42
0105000,전체,2011-03-11,16,19820019,만추,1 상승,2011-02-17,"4,624,000",0.3%,"436,000 (10.4%)","6,262,801,000",646,6 (0.9%),"838,956",18,34
0105000,전체,2011-03-11,17,20101344,파수꾼,5 상승,2011-03-03,"3,505,000",0.2%,"1,322,000 (60.6%)","44,932,400",422,141 (50.2%),"6,108",20,38
0105000,전체,2011-03-11,18,19770055,겨울여자,New,1977-09-27,"812,000",0.0%,"812,000 (100.0%)","812,000",406,406 (100.0%),406,1,3
0105000,전체,2011-03-11,19,20119501,최후의 툰드라-극장판,7 하락,2011-02-17,"2,378,000",0.1%,"-5,032,000 (-67.9%)","57,536,500",298,"-1,004 (-77.1%)","8,586",3,3
0105000,전체,2011-03-11,20,20119427,메카닉,5 상승,2011-02-24,"1,712,500",0.1%,"288,000 (20.2%)","1,656,819,000",236,44 (22.9%),"215,755",17,45
0105000,전체,2011-03-11,21,20119771,내 이름은 칸,New,2011-03-24,"954,000",0.1%,"954,000 (100.0%)","954,000",212,212 (100.0%),212,1,1
0105000,전체,2011-03-11,22,19990077,내 마음의 풍금,2 상승,1999-03-27,"318,000",0.0%,"-114,000 (-26.4%)","976,000",159,-57 (-26.4%),414,1,2
0105000,전체,2011-03-11,23,20119718,지구대표 롤링스타즈,New,2011-03-24,"1,080,000",0.1%,"1,080,000 (100.0%)","1,080,000",135,135 (100.0%),135,1,1
0105000,전체,2011-03-11,24,20101232,"혜화, 동",7 상승,2011-02-17,"1,072,000",0.1%,"417,000 (63.7%)","56,760,800",134,44 (48.9%),"7,626",10,11
