지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2012-06-21,1,20113532,미쓰GO,18 상승,2012-06-21,"408,312,500",19.8%,"405,981,500 (17,416.6%)","437,804,500","58,579","58,246 (17,491.3%)","62,985",417,"2,071"
0105000,전체,2012-06-21,2,20113533,후궁 : 제왕의 첩,1 하락,2012-06-06,"386,460,500",18.7%,"-28,003,000 (-6.8%)","14,464,274,000","56,328","-3,747 (-6.2%)","1,968,300",411,"1,857"
0105000,전체,2012-06-21,3,20124055,아부의 왕,19 상승,2012-06-21,"335,248,000",16.3%,"333,274,000 (16,883.2%)","380,692,000","48,745","48,463 (17,185.5%)","56,750",410,"1,959"
0105000,전체,2012-06-21,4,20113554,내 아내의 모든 것,2 하락,2012-05-17,"238,165,500",11.6%,"-34,987,500 (-12.8%)","29,671,757,500","34,232","-5,079 (-12.9%)","3,973,561",295,"1,191"
0105000,전체,2012-06-21,5,20124946,락아웃: 익스트림미션,2 하락,2012-06-14,"114,024,500",5.5%,"-56,387,500 (-33.1%)","2,373,129,500","16,202","-8,176 (-33.5%)","324,975",278,"1,154"
0105000,전체,2012-06-21,6,20124065,차형사,2 하락,2012-05-30,"104,246,000",5.1%,"-49,792,000 (-32.3%)","8,568,765,296","14,681","-7,456 (-33.7%)","1,180,796",218,739
0105000,전체,2012-06-21,7,20124136,마다가스카3 : 이번엔 서커스다!,동일,2012-06-06,"95,953,000",4.7%,"-16,718,500 (-14.8%)","8,370,158,500","13,205","-1,958 (-12.9%)","1,058,989",284,709
0105000,전체,2012-06-21,8,20125086,프로메테우스,3 하락,2012-06-06,"97,641,000",4.7%,"-70,049,000 (-41.8%)","7,763,319,099","12,173","-7,923 (-39.4%)","872,315",218,597
0105000,전체,2012-06-21,9,20126413,페이스 블라인드,New,2012-06-21,"83,055,000",4.0%,"83,055,000 (100.0%)","84,455,000","11,849","11,849 (100.0%)","12,049",179,615
0105000,전체,2012-06-21,10,20113885,맨 인 블랙 3,4 하락,2012-05-24,"66,244,000",3.2%,"-48,452,000 (-42.2%)","26,652,149,070","9,312","-6,841 (-42.4%)","3,292,381",207,552
0105000,전체,2012-06-21,11,20113553,I AM,12 상승,2012-06-21,"25,841,000",1.3%,"23,657,000 (1,083.2%)","35,664,000","3,407","3,134 (1,148.0%)","4,636",137,270
0105000,전체,2012-06-21,12,20124061,두 번의 결혼식과 한 번의 장례식,21 상승,2012-06-21,"23,977,500",1.2%,"23,347,500 (3,706.0%)","50,907,500","3,372","3,292 (4,115.0%)","6,484",66,222
0105000,전체,2012-06-21,13,20126470,베스트 엑조틱 메리골드 호텔,12 상승,2012-07-12,"13,721,000",0.7%,"11,833,000 (626.7%)","18,673,000","2,031","1,795 (760.6%)","2,650",12,12
0105000,전체,2012-06-21,14,20125646,사다코 3D : 죽음의 동영상,6 하락,2012-06-14,"15,220,500",0.7%,"-37,842,000 (-71.3%)","996,366,032","1,739","-3,940 (-69.4%)","107,046",103,216
0105000,전체,2012-06-21,15,20110312,미확인 동영상 : 절대클릭금지,6 하락,2012-05-30,"8,653,000",0.4%,"-26,893,500 (-75.7%)","5,853,435,500","1,223","-3,793 (-75.6%)","855,163",49,107
0105000,전체,2012-06-21,16,20112443,두 개의 문,5 상승,2012-06-21,"7,541,400",0.4%,"5,247,900 (228.8%)","14,649,900","1,079",796 (281.3%),"2,099",16,26
