지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2007-01-02,1,20060319,박물관이 살아있다!,동일,2006-12-21,"581,884,600",26.8%,"-1,211,190,700 (-67.5%)","15,717,751,200","102,576","-197,123 (-65.8%)","2,738,428",293,"1,832"
0105000,전체,2007-01-02,2,20060387,미녀는 괴로워,동일,2006-12-14,"567,998,300",26.2%,"-816,997,900 (-59.0%)","20,843,649,000","95,300","-125,610 (-56.9%)","3,535,487",321,"1,780"
0105000,전체,2007-01-02,3,20060357,조폭마누라3,동일,2006-12-28,"421,435,700",19.4%,"-796,798,500 (-65.4%)","5,030,833,400","70,857","-123,185 (-63.5%)","833,405",328,"1,923"
0105000,전체,2007-01-02,4,20060396,올드미스다이어리,2 상승,2006-12-21,"131,291,000",6.0%,"-176,130,500 (-57.3%)","3,468,411,000","22,508","-26,536 (-54.1%)","587,193",156,773
0105000,전체,2007-01-02,5,20060358,007 카지노 로얄,동일,2006-12-21,"131,571,000",6.1%,"-284,371,700 (-68.4%)","5,538,234,700","21,370","-43,122 (-66.9%)","897,160",220,924
0105000,전체,2007-01-02,6,20060370,중천,2 하락,2006-12-21,"121,000,900",5.6%,"-323,162,800 (-72.8%)","8,040,980,700","19,900","-49,313 (-71.2%)","1,334,895",272,"1,400"
0105000,전체,2007-01-02,7,20060348,로맨틱 홀리데이,1 상승,2006-12-14,"97,962,000",4.5%,"-136,546,500 (-58.2%)","6,701,829,500","15,874","-18,564 (-53.9%)","1,066,532",165,577
0105000,전체,2007-01-02,8,20060318,해피 피트,1 하락,2006-12-21,"90,097,500",4.2%,"-202,044,500 (-69.2%)","3,127,033,000","15,666","-31,500 (-66.8%)","519,440",174,596
0105000,전체,2007-01-02,9,20060365,수면의 과학,동일,2006-12-21,"7,635,000",0.4%,"-4,193,500 (-35.5%)","169,003,500","1,104",-605 (-35.4%),"23,609",6,16
0105000,전체,2007-01-02,10,20060394,대통령의 죽음,2 상승,2006-12-28,"3,612,000",0.2%,"-2,378,000 (-39.7%)","38,282,500",634,-348 (-35.4%),"6,495",29,99
0105000,전체,2007-01-02,11,20060388,위대한 탄생,동일,2006-12-21,"3,802,500",0.2%,"-5,025,500 (-56.9%)","358,359,700",619,-691 (-52.7%),"58,616",15,39
0105000,전체,2007-01-02,12,20060392,미스 리틀 선샤인,2 하락,2006-12-21,"3,887,000",0.2%,"-6,585,500 (-62.9%)","88,670,500",612,-887 (-59.2%),"13,520",8,28
0105000,전체,2007-01-02,13,20060405,데스노트 : 라스트 네임,New,2007-01-10,"1,910,000",0.1%,"1,910,000 (100.0%)","1,910,000",382,382 (100.0%),382,2,2
0105000,전체,2007-01-02,14,20060393,비상,1 하락,2006-12-14,"1,291,000",0.1%,"-1,505,500 (-53.8%)","123,629,500",205,-181 (-46.9%),"21,966",7,12
0105000,전체,2007-01-02,15,20060356,싸이보그지만 괜찮아,2 상승,2006-12-07,"1,005,500",0.0%,"-157,500 (-13.5%)","3,970,922,800",146,-23 (-13.6%),"673,872",1,3
0105000,전체,2007-01-02,16,20060407,마파도2,New,2007-01-18,"819,000",0.0%,"819,000 (100.0%)","819,000",117,117 (100.0%),117,1,1
0105000,전체,2007-01-02,17,20060385,랑페르,3 하락,2006-12-14,"608,500",0.0%,"-866,500 (-58.7%)","29,718,500",87,-124 (-58.8%),"4,283",1,2
0105000,전체,2007-01-02,18,20060023,박치기!,New,2006-02-14,"397,200",0.0%,"397,200 (100.0%)","68,770,300",86,86 (100.0%),"10,985",1,1
0105000,전체,2007-01-02,19,20060249,리턴,11 상승,2006-09-01,"308,800",0.0%,"178,100 (136.3%)","11,212,200",70,38 (118.8%),"1,709",1,1
0105000,전체,2007-01-02,20,20060178,내 남자의 유통기한,1 상승,2006-06-29,"204,200",0.0%,"-181,600 (-47.1%)","108,441,800",46,-37 (-44.6%),"15,771",1,1
0105000,전체,2007-01-02,21,20060353,해바라기,7 상승,2006-11-23,"270,000",0.0%,"31,000 (13.0%)","7,827,562,400",42,5 (13.5%),"1,303,623",2,8
0105000,전체,2007-01-02,22,20060239,빅 리버,New,2006-08-17,"278,500",0.0%,"278,500 (100.0%)","32,470,000",40,40 (100.0%),"5,003",1,1
0105000,전체,2007-01-02,22,20060416,줌,동일,2006-12-28,"280,000",0.0%,"-175,000 (-38.5%)","2,821,000",40,-25 (-38.5%),403,1,3
0105000,전체,2007-01-02,24,20070003,2007 [통합]영화제/기획전/회고전 등,New,,"199,200",0.0%,"199,200 (100.0%)","199,200",35,35 (100.0%),35,1,1
0105000,전체,2007-01-02,25,20060341,후회하지 않아,2 하락,2006-11-16,"208,000",0.0%,"-205,000 (-49.6%)","246,595,600",31,-28 (-47.5%),"39,115",1,1
0105000,전체,2007-01-02,26,20060314,보리밭을 흔드는 바람,동일,2006-11-02,"134,000",0.0%,"-139,000 (-50.9%)","76,549,400",23,-23 (-50.0%),"11,331",2,3
0105000,전체,2007-01-02,26,20060322,박사가 사랑한 수식,7 상승,2006-11-09,"135,000",0.0%,"-19,000 (-12.3%)","19,729,500",23,-3 (-11.5%),"2,894",1,1
0105000,전체,2007-01-02,28,20020179,탕기,1 상승,2006-12-28,"130,000",0.0%,"-113,000 (-46.5%)","879,000",19,-17 (-47.2%),129,1,2
0105000,전체,2007-01-02,28,20060359,비욘드 더 씨,3 하락,2006-11-09,"87,500",0.0%,"-115,000 (-56.8%)","12,299,900",19,-28 (-59.6%),"2,108",1,1
0105000,전체,2007-01-02,28,20060035,돈 컴 노킹,New,2006-02-23,"123,500",0.0%,"123,500 (100.0%)","26,205,500",19,19 (100.0%),"3,858",1,1
0105000,전체,2007-01-02,31,20060346,란도리,동일,2006-12-14,"72,000",0.0%,"-108,000 (-60.0%)","8,065,500",12,-18 (-60.0%),"1,215",1,1
0105000,전체,2007-01-02,32,20060386,황혼의 빛,5 상승,2006-12-14,"45,500",0.0%,0 (0.0%),"5,070,000",7,0 (0.0%),737,1,1
0105000,전체,2007-01-02,32,20060379,"굿모닝, 나잇",동일,2006-12-01,"49,000",0.0%,"-148,000 (-75.1%)","4,851,000",7,-22 (-75.9%),712,1,2
0105000,전체,2007-01-02,34,20060277,타짜,10 하락,2006-09-28,"35,000",0.0%,"-285,000 (-89.1%)","36,176,438,700",5,-45 (-90.0%),"5,684,663",1,2
0105000,전체,2007-01-02,34,20060320,대통령을 죽여라,13 하락,2006-10-13,"35,000",0.0%,"-468,000 (-93.0%)","3,940,000",5,-77 (-93.9%),626,1,2
0105000,전체,2007-01-02,34,20060303,프레리 홈 컴패니언,4 상승,2006-10-19,"22,000",0.0%,0 (0.0%),"11,705,000",5,1 (25.0%),"1,710",1,2
0105000,전체,2007-01-02,37,20060363,디어 평양,1 하락,2006-11-23,"23,000",0.0%,"-41,000 (-64.1%)","12,604,500",4,-7 (-63.6%),"1,944",1,1
0105000,전체,2007-01-02,37,20060270,이사벨라,2 상승,2006-09-28,"24,000",0.0%,"12,000 (100.0%)","5,444,000",4,2 (100.0%),866,1,1
0105000,전체,2007-01-02,39,20060412,허브,27 하락,2007-01-11,0,0.0%,"-4,830,000 (-100.0%)","8,460,000",0,"-1,105 (-100.0%)","1,710",2,2
0105000,전체,2007-01-02,39,20060390,데자뷰,3 상승,2007-01-11,0,0.0%,0 (100.0%),"5,614,000",0,0 (100.0%),802,1,1
0105000,전체,2007-01-02,39,20060403,언니가 간다,1 하락,2007-01-04,0,0.0%,0 (100.0%),0,0,0 (100.0%),0,4,4
