지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2022-02-09,1,20205443,나일 강의 죽음,25 상승,2022-02-09,"252,510,270",33.1%,"251,880,270 (39,981.0%)","257,184,270","28,136","28,066 (40,094.3%)","28,650",972,"3,234"
0105000,전체,2022-02-09,2,20201965,해적: 도깨비 깃발,1 하락,2022-01-26,"120,721,940",15.8%,"-38,360,510 (-24.1%)","11,004,173,820","12,905","-4,159 (-24.4%)","1,135,535",931,"2,717"
0105000,전체,2022-02-09,3,20188441,킹메이커,1 하락,2022-01-26,"82,985,250",10.9%,"-28,820,700 (-25.8%)","6,291,415,460","9,019","-2,921 (-24.5%)","650,398",712,"2,019"
0105000,전체,2022-02-09,4,20212836,355,New,2022-02-09,"59,823,830",7.8%,"59,823,830 (100.0%)","60,921,830","6,938","6,938 (100.0%)","7,060",511,"1,395"
0105000,전체,2022-02-09,5,20070063,해리 포터와 불사조 기사단,New,2007-07-11,"36,914,800",4.8%,"36,914,800 (100.0%)","22,936,690,100","4,192","4,192 (100.0%)","3,695,252",85,254
0105000,전체,2022-02-09,6,20210087,듄,2 상승,2021-10-20,"59,648,440",7.8%,"50,315,440 (539.1%)","16,972,274,550","4,031","3,428 (568.5%)","1,553,980",46,114
0105000,전체,2022-02-09,7,20219245,만년이 지나도 변하지 않는 게 있어,동일,2022-02-09,"32,003,870",4.2%,"25,233,870 (372.7%)","52,475,870","3,602","2,818 (359.4%)","5,824",297,476
0105000,전체,2022-02-09,8,20210028,스파이더맨: 노 웨이 홈,5 하락,2021-12-15,"29,043,770",3.8%,"-20,812,320 (-41.7%)","74,438,566,190","3,426","-2,426 (-41.5%)","7,464,709",426,699
0105000,전체,2022-02-09,9,20218764,씽2게더,5 하락,2022-01-05,"13,625,370",1.8%,"-17,106,530 (-55.7%)","7,751,229,400","1,479","-1,842 (-55.5%)","836,975",269,326
0105000,전체,2022-02-09,10,20211177,하우스 오브 구찌,4 하락,2022-01-12,"7,981,300",1.0%,"-2,173,400 (-21.4%)","1,361,647,860","1,094",78 (7.7%),"137,653",69,87
0105000,전체,2022-02-09,11,20164621,덩케르크,New,2017-07-20,"13,560,000",1.8%,"13,560,000 (100.0%)","24,716,361,848",879,879 (100.0%),"2,806,457",17,26
0105000,전체,2022-02-09,12,20212952,극장판 안녕 자두야: 제주도의 비밀,7 하락,2022-01-27,"6,193,700",0.8%,"-7,816,200 (-55.8%)","820,871,500",777,-943 (-54.8%),"93,496",141,161
0105000,전체,2022-02-09,13,20196264,유체이탈자,New,2021-11-24,"3,500,000",0.5%,"3,500,000 (100.0%)","7,938,961,790",700,700 (100.0%),"818,369",2,3
0105000,전체,2022-02-09,13,20210663,라스트 나잇 인 소호,New,2021-12-01,"3,500,000",0.5%,"3,500,000 (100.0%)","452,932,840",700,700 (100.0%),"48,020",1,2
0105000,전체,2022-02-09,15,20219626,어나더 라운드,8 하락,2022-01-19,"5,113,500",0.7%,"-1,261,970 (-19.8%)","277,327,220",608,-99 (-14.0%),"30,057",48,63
0105000,전체,2022-02-09,16,20212672,레지던트 이블: 라쿤시티,12 상승,2022-01-19,"3,000,000",0.4%,"2,307,000 (332.9%)","210,148,970",600,522 (669.2%),"23,497",2,4
0105000,전체,2022-02-09,17,20217807,해피 뉴 이어,5 하락,2021-12-29,"2,500,000",0.3%,"-855,000 (-25.5%)","2,173,785,900",500,-171 (-25.5%),"232,345",1,2
0105000,전체,2022-02-09,17,20201876,1984 최동원,New,2021-11-11,"2,500,000",0.3%,"2,500,000 (100.0%)","95,311,730",500,500 (100.0%),"11,126",1,2
0105000,전체,2022-02-09,19,20218415,드라이브 마이 카,10 하락,2021-12-23,"3,593,200",0.5%,"180,400 (5.3%)","523,346,270",426,-4 (-0.9%),"55,533",34,42
0105000,전체,2022-02-09,20,20223266,애니멀 체인지,1 상승,2022-02-09,"2,499,000",0.3%,"1,049,000 (72.3%)","3,949,000",331,186 (128.3%),476,89,94
0105000,전체,2022-02-09,21,20212871,가슴이 떨리는 건 너 때문,8 하락,2022-02-09,"2,932,300",0.4%,"1,032,300 (54.3%)","9,152,300",301,111 (58.4%),971,53,71
0105000,전체,2022-02-09,22,20210790,베네데타,New,2021-12-01,"1,500,000",0.2%,"1,500,000 (100.0%)","123,640,800",300,300 (100.0%),"12,730",1,2
0105000,전체,2022-02-09,23,20200292,보드랍게,New,2022-02-23,"1,152,000",0.2%,"1,152,000 (100.0%)","1,838,000",128,128 (100.0%),247,1,1
0105000,전체,2022-02-09,24,20194403,킹스맨: 퍼스트 에이전트,13 하락,2021-12-22,"1,267,500",0.2%,"-2,641,000 (-67.6%)","10,280,864,870",120,-236 (-66.3%),"1,024,216",25,31
0105000,전체,2022-02-09,25,20183772,태일이,76 상승,2021-12-01,"791,000",0.1%,"791,000 (100.0%)","947,639,590",113,113 (100.0%),"114,247",2,2
0105000,전체,2022-02-09,26,20209269,미싱타는 여자들,10 하락,2022-01-20,"829,000",0.1%,"-411,000 (-33.1%)","60,281,820",109,-41 (-27.3%),"7,330",20,22
0105000,전체,2022-02-09,27,20150942,캐롤,11 하락,2016-02-04,"1,018,200",0.1%,"-423,000 (-29.4%)","2,921,528,835",104,-46 (-30.7%),"354,055",15,20
0105000,전체,2022-02-09,27,20181168,메기,New,2019-09-26,"1,248,000",0.2%,"1,248,000 (100.0%)","353,299,168",104,104 (100.0%),"41,761",1,1
0105000,전체,2022-02-09,29,20212705,트로트는 인생이다,8 상승,2022-01-27,"804,000",0.1%,"397,000 (97.5%)","4,667,100",103,50 (94.3%),513,4,4
0105000,전체,2022-02-09,30,20211768,신데렐라 2: 마법에 걸린 왕자,New,2021-12-22,"500,000",0.1%,"500,000 (100.0%)","343,816,120",100,100 (100.0%),"39,273",1,1
